Date,Team 1,FT,Team 2
Sat May 19 2012,Se Palmeiras,1-1,Portuguesa
Sat May 19 2012,Sport Club Recife,1-1,Flamengo RJ
Sun May 20 2012,Figueirense,2-1,Clube Nautico
Sun May 20 2012,Botafogo RJ,4-2,Sao Paulo FC
Sun May 20 2012,Corinthians SP,0-1,Fluminense RJ
Sun May 20 2012,Internacional,2-0,Coritiba FC
Sun May 20 2012,Ponte Preta,0-1,Atletico Mineiro
Sun May 20 2012,Vasco Da Gama,2-1,Gremio Porto Alegre
Sun May 20 2012,Cruzeiro EC,0-0,Atletico GO
Sun May 20 2012,EC Bahia,0-0,Santos FC
Sat May 26 2012,Flamengo RJ,3-3,Internacional
Sat May 26 2012,Portuguesa,0-1,Vasco Da Gama
Sat May 26 2012,Atletico GO,1-1,Ponte Preta
Sun May 27 2012,Clube Nautico,0-0,Cruzeiro EC
Sun May 27 2012,Santos FC,0-0,Sport Club Recife
Sun May 27 2012,Sao Paulo FC,1-0,EC Bahia
Sun May 27 2012,Atletico Mineiro,1-0,Corinthians SP
Sun May 27 2012,Coritiba FC,2-3,Botafogo RJ
Sun May 27 2012,Fluminense RJ,2-2,Figueirense
Sun May 27 2012,Gremio Porto Alegre,1-0,Se Palmeiras
Thu Jun 7 2012,Sport Club Recife,2-1,Se Palmeiras
Thu Jun 7 2012,Atletico GO,0-1,Gremio Porto Alegre
Thu Jun 7 2012,Vasco Da Gama,4-2,Clube Nautico
Thu Jun 7 2012,Atletico Mineiro,1-1,EC Bahia
Thu Jun 7 2012,Coritiba FC,2-0,Portuguesa
Thu Jun 7 2012,Santos FC,1-1,Fluminense RJ
Thu Jun 7 2012,Internacional,1-0,Sao Paulo FC
Thu Jun 7 2012,Ponte Preta,2-2,Flamengo RJ
Fri Jun 8 2012,Botafogo RJ,2-3,Cruzeiro EC
Fri Jun 8 2012,Corinthians SP,1-1,Figueirense
Sat Jun 9 2012,Flamengo RJ,3-1,Coritiba FC
Sun Jun 10 2012,Se Palmeiras,0-1,Atletico Mineiro
Sun Jun 10 2012,Portuguesa,2-0,Atletico GO
Sun Jun 10 2012,Fluminense RJ,0-0,Internacional
Sun Jun 10 2012,Gremio Porto Alegre,2-0,Corinthians SP
Sun Jun 10 2012,EC Bahia,1-2,Vasco Da Gama
Sun Jun 10 2012,Sao Paulo FC,1-0,Santos FC
Sun Jun 10 2012,Cruzeiro EC,1-0,Sport Club Recife
Sun Jun 10 2012,Figueirense,0-0,Ponte Preta
Sun Jun 10 2012,Clube Nautico,3-2,Botafogo RJ
