Date,Team 1,FT,Team 2
Sat Aug 21 1954,Arsenal FC,1-3,Newcastle United
Sat Aug 21 1954,Aston Villa,2-4,Tottenham Hotspur
Sat Aug 21 1954,Bolton Wanderers,3-2,Charlton Athletic
Sat Aug 21 1954,Burnley FC,1-0,Cardiff City
Sat Aug 21 1954,Huddersfield Town,1-3,Blackpool FC
Sat Aug 21 1954,Leicester City,1-1,Chelsea FC
Sat Aug 21 1954,Manchester United,1-3,Portsmouth FC
Sat Aug 21 1954,Preston North End,5-0,Manchester City
Sat Aug 21 1954,Sheffield United,2-5,Everton FC
Sat Aug 21 1954,Sunderland Afc,4-2,West Bromwich Albion
Sat Aug 21 1954,Wolverhampton Wanderers,4-2,Sheffield Wednesday
Mon Aug 23 1954,Aston Villa,2-2,Sunderland Afc
Mon Aug 23 1954,Blackpool FC,2-3,Bolton Wanderers
Mon Aug 23 1954,Chelsea FC,1-0,Burnley FC
Mon Aug 23 1954,Sheffield Wednesday,2-4,Manchester United
Wed Aug 25 1954,Cardiff City,2-5,Preston North End
Wed Aug 25 1954,Everton FC,1-0,Arsenal FC
Wed Aug 25 1954,Manchester City,5-2,Sheffield United
Wed Aug 25 1954,Newcastle United,3-0,West Bromwich Albion
Wed Aug 25 1954,Portsmouth FC,4-2,Huddersfield Town
Wed Aug 25 1954,Tottenham Hotspur,3-2,Wolverhampton Wanderers
Thu Aug 26 1954,Charlton Athletic,2-3,Leicester City
Sat Aug 28 1954,Blackpool FC,2-4,Manchester United
Sat Aug 28 1954,Cardiff City,2-1,Leicester City
Sat Aug 28 1954,Charlton Athletic,2-1,Huddersfield Town
Sat Aug 28 1954,Chelsea FC,3-2,Bolton Wanderers
Sat Aug 28 1954,Everton FC,1-0,Preston North End
Sat Aug 28 1954,Manchester City,0-0,Burnley FC
Sat Aug 28 1954,Newcastle United,1-2,Sheffield United
Sat Aug 28 1954,Portsmouth FC,0-0,Wolverhampton Wanderers
Sat Aug 28 1954,Sheffield Wednesday,6-3,Aston Villa
Sat Aug 28 1954,Tottenham Hotspur,0-1,Sunderland Afc
Sat Aug 28 1954,West Bromwich Albion,3-1,Arsenal FC
Mon Aug 30 1954,Huddersfield Town,2-1,Portsmouth FC
Mon Aug 30 1954,Leicester City,0-1,Charlton Athletic
Mon Aug 30 1954,Sheffield United,0-2,Manchester City
Mon Aug 30 1954,Wolverhampton Wanderers,4-2,Tottenham Hotspur
Tue Aug 31 1954,Arsenal FC,2-0,Everton FC
Tue Aug 31 1954,Burnley FC,1-1,Chelsea FC
Wed Sep 1 1954,Bolton Wanderers,3-0,Blackpool FC
Wed Sep 1 1954,Manchester United,2-0,Sheffield Wednesday
Wed Sep 1 1954,Preston North End,7-1,Cardiff City
Wed Sep 1 1954,Sunderland Afc,0-0,Aston Villa
Wed Sep 1 1954,West Bromwich Albion,4-2,Newcastle United
Sat Sep 4 1954,Arsenal FC,2-0,Tottenham Hotspur
Sat Sep 4 1954,Aston Villa,1-0,Portsmouth FC
Sat Sep 4 1954,Burnley FC,0-2,Everton FC
Sat Sep 4 1954,Chelsea FC,1-1,Cardiff City
Sat Sep 4 1954,Huddersfield Town,2-0,Bolton Wanderers
Sat Sep 4 1954,Leicester City,0-2,Manchester City
Sat Sep 4 1954,Manchester United,3-1,Charlton Athletic
Sat Sep 4 1954,Preston North End,3-3,Newcastle United
Sat Sep 4 1954,Sheffield United,1-2,West Bromwich Albion
Sat Sep 4 1954,Sunderland Afc,2-0,Sheffield Wednesday
Sat Sep 4 1954,Wolverhampton Wanderers,1-0,Blackpool FC
Mon Sep 6 1954,Bolton Wanderers,3-1,Portsmouth FC
Mon Sep 6 1954,Burnley FC,3-1,Leicester City
Mon Sep 6 1954,Chelsea FC,0-1,Preston North End
Mon Sep 6 1954,Sheffield Wednesday,4-1,Huddersfield Town
Wed Sep 8 1954,Cardiff City,1-1,Sheffield United
Wed Sep 8 1954,Everton FC,1-2,West Bromwich Albion
Wed Sep 8 1954,Manchester City,2-1,Arsenal FC
Wed Sep 8 1954,Newcastle United,5-3,Aston Villa
Wed Sep 8 1954,Tottenham Hotspur,0-2,Manchester United
Wed Sep 8 1954,Wolverhampton Wanderers,2-0,Sunderland Afc
Sat Sep 11 1954,Arsenal FC,4-0,Sheffield United
Sat Sep 11 1954,Blackpool FC,0-1,Aston Villa
Sat Sep 11 1954,Bolton Wanderers,1-1,Manchester United
Sat Sep 11 1954,Cardiff City,1-1,Huddersfield Town
Sat Sep 11 1954,Charlton Athletic,1-3,Wolverhampton Wanderers
Sat Sep 11 1954,Everton FC,2-2,Leicester City
Sat Sep 11 1954,Manchester City,1-1,Chelsea FC
Sat Sep 11 1954,Newcastle United,2-1,Burnley FC
Sat Sep 11 1954,Portsmouth FC,2-2,Sunderland Afc
Sat Sep 11 1954,Sheffield Wednesday,2-2,Tottenham Hotspur
Sat Sep 11 1954,West Bromwich Albion,2-0,Preston North End
Mon Sep 13 1954,Aston Villa,1-2,Newcastle United
Mon Sep 13 1954,Huddersfield Town,3-0,Sheffield Wednesday
Mon Sep 13 1954,Leicester City,2-2,Burnley FC
Mon Sep 13 1954,Sheffield United,1-3,Cardiff City
Tue Sep 14 1954,Arsenal FC,2-3,Manchester City
Wed Sep 15 1954,Manchester United,2-1,Tottenham Hotspur
Wed Sep 15 1954,Portsmouth FC,1-0,Bolton Wanderers
Wed Sep 15 1954,Preston North End,1-2,Chelsea FC
Wed Sep 15 1954,Sunderland Afc,0-0,Wolverhampton Wanderers
Wed Sep 15 1954,West Bromwich Albion,3-3,Everton FC
Thu Sep 16 1954,Charlton Athletic,3-3,Blackpool FC
Sat Sep 18 1954,Aston Villa,1-2,Charlton Athletic
Sat Sep 18 1954,Burnley FC,0-2,West Bromwich Albion
Sat Sep 18 1954,Cardiff City,3-0,Manchester City
Sat Sep 18 1954,Chelsea FC,0-2,Everton FC
Sat Sep 18 1954,Leicester City,3-2,Newcastle United
Sat Sep 18 1954,Manchester United,1-1,Huddersfield Town
Sat Sep 18 1954,Preston North End,3-1,Arsenal FC
Sat Sep 18 1954,Sheffield United,1-0,Sheffield Wednesday
Sat Sep 18 1954,Sunderland Afc,2-0,Blackpool FC
Sat Sep 18 1954,Tottenham Hotspur,1-1,Portsmouth FC
Sat Sep 18 1954,Wolverhampton Wanderers,1-2,Bolton Wanderers
Mon Sep 20 1954,Blackpool FC,1-1,Charlton Athletic
Mon Sep 20 1954,Sheffield United,1-2,Chelsea FC
Sat Sep 25 1954,Arsenal FC,4-0,Burnley FC
Sat Sep 25 1954,Blackpool FC,5-1,Tottenham Hotspur
Sat Sep 25 1954,Bolton Wanderers,3-3,Aston Villa
Sat Sep 25 1954,Charlton Athletic,1-3,Sunderland Afc
Sat Sep 25 1954,Everton FC,1-1,Cardiff City
Sat Sep 25 1954,Huddersfield Town,2-0,Wolverhampton Wanderers
