Date,Team 1,FT,Team 2
Sat Sep 1 1990,Espanyol Barcelona,0-1,FC Barcelona
Sun Sep 2 1990,CD Tenerife,1-0,Athletic Bilbao
Sun Sep 2 1990,Valencia CF,1-1,Atletico Madrid
Sun Sep 2 1990,Real Oviedo,0-0,Sevilla FC
Sun Sep 2 1990,Real Sociedad,1-0,Real Zaragoza
Sun Sep 2 1990,Real Betis,2-2,Sporting Gijon
Sun Sep 2 1990,Real Valladolid,1-1,CA Osasuna
Sun Sep 2 1990,Real Madrid,1-0,Cd Castellon
Sun Sep 2 1990,CD Logrones,1-2,RCD Mallorca
Sun Sep 2 1990,Burgos CF,1-0,Cadiz CF
Sat Sep 8 1990,Sevilla FC,2-0,Real Madrid
Sun Sep 9 1990,Cd Castellon,1-1,Espanyol Barcelona
Sun Sep 9 1990,CA Osasuna,3-1,CD Tenerife
Sun Sep 9 1990,Real Zaragoza,0-1,CD Logrones
Sun Sep 9 1990,Athletic Bilbao,2-1,Burgos CF
Sun Sep 9 1990,Sporting Gijon,4-0,Real Valladolid
Sun Sep 9 1990,RCD Mallorca,1-1,Real Oviedo
Sun Sep 9 1990,Atletico Madrid,2-1,Real Betis
Sun Sep 9 1990,FC Barcelona,3-1,Valencia CF
Sun Sep 9 1990,Cadiz CF,1-1,Real Sociedad
Sat Sep 15 1990,Real Valladolid,0-0,Atletico Madrid
Sat Sep 15 1990,Real Betis,2-3,FC Barcelona
Sat Sep 15 1990,Valencia CF,1-0,Cd Castellon
Sat Sep 15 1990,Real Madrid,3-0,RCD Mallorca
Sun Sep 16 1990,Real Oviedo,2-1,Real Zaragoza
Sun Sep 16 1990,CD Logrones,1-1,Cadiz CF
Sun Sep 16 1990,Athletic Bilbao,2-0,CA Osasuna
Sun Sep 16 1990,CD Tenerife,0-0,Sporting Gijon
Sun Sep 16 1990,Espanyol Barcelona,4-0,Sevilla FC
Sun Sep 16 1990,Burgos CF,2-0,Real Sociedad
Sat Sep 22 1990,Real Zaragoza,1-3,Real Madrid
Sun Sep 23 1990,Sevilla FC,2-1,Valencia CF
Sun Sep 23 1990,Atletico Madrid,1-1,CD Tenerife
Sun Sep 23 1990,Real Sociedad,2-0,CD Logrones
Sun Sep 23 1990,CA Osasuna,1-0,Burgos CF
Sun Sep 23 1990,FC Barcelona,1-0,Real Valladolid
Sun Sep 23 1990,Cd Castellon,3-1,Real Betis
Sun Sep 23 1990,RCD Mallorca,4-0,Espanyol Barcelona
Sun Sep 23 1990,Sporting Gijon,3-1,Athletic Bilbao
Sun Sep 23 1990,Cadiz CF,2-1,Real Oviedo
Sat Sep 29 1990,Athletic Bilbao,2-1,Atletico Madrid
Sat Sep 29 1990,Valencia CF,1-0,RCD Mallorca
Sat Sep 29 1990,Real Oviedo,2-1,Real Sociedad
Sun Sep 30 1990,CA Osasuna,2-1,Sporting Gijon
Sun Sep 30 1990,Espanyol Barcelona,0-0,Real Zaragoza
Sun Sep 30 1990,Burgos CF,1-2,CD Logrones
Sun Sep 30 1990,Real Valladolid,0-0,Cd Castellon
Sun Sep 30 1990,CD Tenerife,0-1,FC Barcelona
Sun Sep 30 1990,Real Madrid,2-1,Cadiz CF
Sun Sep 30 1990,Real Betis,0-3,Sevilla FC
Sat Oct 6 1990,FC Barcelona,4-1,Athletic Bilbao
Sun Oct 7 1990,Real Zaragoza,2-1,Valencia CF
Sun Oct 7 1990,Cd Castellon,5-1,CD Tenerife
Sun Oct 7 1990,Sporting Gijon,0-0,Burgos CF
Sun Oct 7 1990,Atletico Madrid,2-2,CA Osasuna
Sun Oct 7 1990,Sevilla FC,1-0,Real Valladolid
Sun Oct 7 1990,RCD Mallorca,1-0,Real Betis
Sun Oct 7 1990,Cadiz CF,0-0,Espanyol Barcelona
Sun Oct 7 1990,Real Sociedad,1-1,Real Madrid
Sun Oct 7 1990,CD Logrones,1-0,Real Oviedo
Sat Oct 13 1990,CA Osasuna,0-0,FC Barcelona
Sun Oct 14 1990,Burgos CF,4-0,Real Oviedo
Sun Oct 14 1990,Valencia CF,2-1,Cadiz CF
Sun Oct 14 1990,Real Madrid,0-0,CD Logrones
Sun Oct 14 1990,Real Valladolid,5-1,RCD Mallorca
Sun Oct 14 1990,Athletic Bilbao,1-1,Cd Castellon
Sun Oct 14 1990,Espanyol Barcelona,1-0,Real Sociedad
Sun Oct 14 1990,CD Tenerife,0-4,Sevilla FC
Sun Oct 14 1990,Sporting Gijon,1-2,Atletico Madrid
Sun Oct 14 1990,Real Betis,1-1,Real Zaragoza
Sat Oct 20 1990,Sevilla FC,3-0,Athletic Bilbao
Sat Oct 20 1990,FC Barcelona,3-2,Sporting Gijon
Sat Oct 20 1990,Real Sociedad,1-0,Valencia CF
Sun Oct 21 1990,CD Logrones,1-0,Espanyol Barcelona
Sun Oct 21 1990,Atletico Madrid,0-0,Burgos CF
Sun Oct 21 1990,Cd Castellon,1-0,CA Osasuna
Sun Oct 21 1990,Cadiz CF,1-2,Real Betis
Sun Oct 21 1990,RCD Mallorca,0-1,CD Tenerife
Sun Oct 21 1990,Real Oviedo,0-0,Real Madrid
Sun Oct 21 1990,Real Zaragoza,2-2,Real Valladolid
Sat Oct 27 1990,Atletico Madrid,2-1,FC Barcelona
Sun Oct 28 1990,Espanyol Barcelona,5-0,Real Oviedo
Sun Oct 28 1990,Real Valladolid,0-0,Cadiz CF
Sun Oct 28 1990,Valencia CF,0-1,CD Logrones
Sun Oct 28 1990,Athletic Bilbao,2-0,RCD Mallorca
Sun Oct 28 1990,Sporting Gijon,1-0,Cd Castellon
Sun Oct 28 1990,CD Tenerife,0-2,Real Zaragoza
Sun Oct 28 1990,Real Betis,1-1,Real Sociedad
Sun Oct 28 1990,CA Osasuna,1-0,Sevilla FC
Sun Oct 28 1990,Burgos CF,2-1,Real Madrid
Sat Nov 3 1990,Real Oviedo,2-1,Valencia CF
Sat Nov 3 1990,FC Barcelona,0-0,Burgos CF
Sat Nov 3 1990,Sevilla FC,1-0,Sporting Gijon
Sun Nov 4 1990,Cd Castellon,0-0,Atletico Madrid
Sun Nov 4 1990,Real Madrid,2-1,Espanyol Barcelona
Sun Nov 4 1990,Cadiz CF,1-2,CD Tenerife
Sun Nov 4 1990,RCD Mallorca,1-1,CA Osasuna
