Date,Team 1,FT,Team 2
Sun Aug 6 2017,CD Aves,0-2,Sporting CP
Sun Aug 6 2017,Vitoria Setubal,1-1,Moreirense FC
Mon Aug 7 2017,Portimonense SC,2-1,Boavista Porto
Mon Aug 7 2017,Cd Feirense,1-1,CD Tondela
Mon Aug 7 2017,Rio Ave FC,1-0,Os Belenenses
Tue Aug 8 2017,CS Maritimo,1-0,Pacos De Ferreira
Wed Aug 9 2017,FC Porto,4-0,GD Estoril
Wed Aug 9 2017,Sl Benfica,3-1,Sporting Braga
Thu Aug 10 2017,Vitoria Guimaraes,3-2,GD Chaves
Fri Aug 11 2017,Sporting CP,1-0,Vitoria Setubal
Sat Aug 12 2017,Moreirense FC,0-0,Cd Feirense
Sat Aug 12 2017,Os Belenenses,1-0,CS Maritimo
Sat Aug 12 2017,Boavista Porto,1-2,Rio Ave FC
Sun Aug 13 2017,Pacos De Ferreira,2-2,CD Aves
Sun Aug 13 2017,Sporting Braga,2-1,Portimonense SC
Sun Aug 13 2017,CD Tondela,0-1,FC Porto
Mon Aug 14 2017,GD Estoril,3-0,Vitoria Guimaraes
Mon Aug 14 2017,GD Chaves,0-1,Sl Benfica
Fri Aug 18 2017,Rio Ave FC,2-0,Portimonense SC
Sat Aug 19 2017,CD Tondela,2-3,GD Estoril
Sat Aug 19 2017,Vitoria Guimaraes,0-5,Sporting CP
Sat Aug 19 2017,Sl Benfica,5-0,Os Belenenses
Sun Aug 20 2017,Vitoria Setubal,1-1,GD Chaves
Sun Aug 20 2017,FC Porto,3-0,Moreirense FC
Sun Aug 20 2017,CD Aves,0-2,Sporting Braga
Sun Aug 20 2017,CS Maritimo,1-0,Boavista Porto
Mon Aug 21 2017,Cd Feirense,2-1,Pacos De Ferreira
Fri Aug 25 2017,Os Belenenses,1-1,Vitoria Setubal
Sat Aug 26 2017,Pacos De Ferreira,0-0,Vitoria Guimaraes
Sat Aug 26 2017,Moreirense FC,0-3,CD Tondela
Sat Aug 26 2017,GD Chaves,0-2,Cd Feirense
Sat Aug 26 2017,Rio Ave FC,1-1,Sl Benfica
Sun Aug 27 2017,Boavista Porto,1-0,CD Aves
Sun Aug 27 2017,Sporting CP,2-1,GD Estoril
Sun Aug 27 2017,Sporting Braga,0-1,FC Porto
Mon Aug 28 2017,Portimonense SC,1-2,CS Maritimo
Fri Sep 8 2017,Cd Feirense,2-3,Sporting CP
Fri Sep 8 2017,Sl Benfica,2-1,Portimonense SC
Sat Sep 9 2017,CD Tondela,2-2,Pacos De Ferreira
Sat Sep 9 2017,CS Maritimo,1-0,Rio Ave FC
Sat Sep 9 2017,FC Porto,3-0,GD Chaves
Sun Sep 10 2017,Vitoria Setubal,2-0,Sporting Braga
Sun Sep 10 2017,Vitoria Guimaraes,1-0,Boavista Porto
Sun Sep 10 2017,GD Estoril,0-2,Moreirense FC
Mon Sep 11 2017,CD Aves,2-1,Os Belenenses
Fri Sep 15 2017,Pacos De Ferreira,1-0,Vitoria Setubal
Sat Sep 16 2017,CS Maritimo,2-1,CD Aves
Sat Sep 16 2017,Boavista Porto,2-1,Sl Benfica
Sat Sep 16 2017,Sporting CP,2-0,CD Tondela
Sun Sep 17 2017,Os Belenenses,2-1,GD Estoril
Sun Sep 17 2017,Rio Ave FC,1-2,FC Porto
Sun Sep 17 2017,Sporting Braga,2-1,Vitoria Guimaraes
Mon Sep 18 2017,Portimonense SC,2-1,Cd Feirense
Mon Sep 18 2017,GD Chaves,3-0,Moreirense FC
Fri Sep 22 2017,FC Porto,5-2,Portimonense SC
Sat Sep 23 2017,GD Estoril,0-2,GD Chaves
Sat Sep 23 2017,Moreirense FC,1-1,Sporting CP
Sat Sep 23 2017,Sl Benfica,2-0,Pacos De Ferreira
Sun Sep 24 2017,Vitoria Guimaraes,2-1,CS Maritimo
Sun Sep 24 2017,Cd Feirense,1-4,Os Belenenses
Sun Sep 24 2017,CD Tondela,1-2,Sporting Braga
Sun Sep 24 2017,CD Aves,0-0,Rio Ave FC
Mon Sep 25 2017,Vitoria Setubal,1-1,Boavista Porto
Fri Sep 29 2017,GD Chaves,1-1,CD Tondela
Sat Sep 30 2017,Pacos De Ferreira,3-2,Moreirense FC
Sat Sep 30 2017,Portimonense SC,2-2,CD Aves
Sat Sep 30 2017,Boavista Porto,1-0,Cd Feirense
Sat Sep 30 2017,Rio Ave FC,2-1,Vitoria Setubal
Sun Oct 1 2017,Sporting Braga,6-0,GD Estoril
Sun Oct 1 2017,Sporting CP,0-0,FC Porto
Sun Oct 1 2017,Os Belenenses,1-0,Vitoria Guimaraes
Sun Oct 1 2017,CS Maritimo,1-1,Sl Benfica
Fri Oct 20 2017,GD Estoril,0-3,Boavista Porto
Sat Oct 21 2017,Cd Feirense,1-0,Rio Ave FC
Sat Oct 21 2017,Vitoria Setubal,3-1,CS Maritimo
Sat Oct 21 2017,FC Porto,6-1,Pacos De Ferreira
Sun Oct 22 2017,CD Tondela,2-0,Os Belenenses
Sun Oct 22 2017,CD Aves,1-3,Sl Benfica
Sun Oct 22 2017,Sporting CP,5-1,GD Chaves
Mon Oct 23 2017,Moreirense FC,0-1,Sporting Braga
Mon Oct 23 2017,Vitoria Guimaraes,3-3,Portimonense SC
Fri Oct 27 2017,Sl Benfica,1-0,Cd Feirense
Fri Oct 27 2017,Rio Ave FC,0-1,Sporting CP
Sat Oct 28 2017,CS Maritimo,2-0,CD Tondela
Sat Oct 28 2017,Os Belenenses,3-0,Moreirense FC
Sat Oct 28 2017,Boavista Porto,0-3,FC Porto
Sun Oct 29 2017,Sporting Braga,1-0,GD Chaves
Sun Oct 29 2017,Pacos De Ferreira,1-0,GD Estoril
Sun Oct 29 2017,CD Aves,1-3,Vitoria Guimaraes
Mon Oct 30 2017,Portimonense SC,5-2,Vitoria Setubal
Fri Nov 3 2017,Vitoria Setubal,0-1,CD Aves
Sat Nov 4 2017,Moreirense FC,1-1,Portimonense SC
Sat Nov 4 2017,CD Tondela,3-2,Boavista Porto
Sat Nov 4 2017,GD Estoril,0-2,Rio Ave FC
Sat Nov 4 2017,FC Porto,2-0,Os Belenenses
Sun Nov 5 2017,GD Chaves,4-2,Pacos De Ferreira
Sun Nov 5 2017,Cd Feirense,0-1,CS Maritimo
Sun Nov 5 2017,Vitoria Guimaraes,1-3,Sl Benfica
Sun Nov 5 2017,Sporting CP,2-2,Sporting Braga
Fri Nov 24 2017,Os Belenenses,0-1,GD Chaves
Sat Nov 25 2017,Portimonense SC,2-0,CD Tondela
Sat Nov 25 2017,Boavista Porto,1-0,Moreirense FC
Sat Nov 25 2017,CD Aves,1-1,FC Porto
Sun Nov 26 2017,CS Maritimo,0-0,GD Estoril
Sun Nov 26 2017,Pacos De Ferreira,1-2,Sporting CP
Sun Nov 26 2017,Sl Benfica,6-0,Vitoria Setubal
Mon Nov 27 2017,Sporting Braga,3-1,Cd Feirense
Mon Nov 27 2017,Rio Ave FC,0-1,Vitoria Guimaraes
Fri Dec 1 2017,Sporting CP,1-0,Os Belenenses
Fri Dec 1 2017,FC Porto,0-0,Sl Benfica
Sat Dec 2 2017,Moreirense FC,1-1,CS Maritimo
Sat Dec 2 2017,CD Tondela,1-3,Rio Ave FC
Sat Dec 2 2017,GD Chaves,0-0,Boavista Porto
Sun Dec 3 2017,Cd Feirense,0-1,CD Aves
Sun Dec 3 2017,Sporting Braga,3-0,Pacos De Ferreira
Sun Dec 3 2017,Vitoria Setubal,1-2,Vitoria Guimaraes
Mon Dec 4 2017,GD Estoril,0-0,Portimonense SC
Fri Dec 8 2017,Rio Ave FC,2-1,Moreirense FC
Sat Dec 9 2017,CD Aves,0-1,CD Tondela
Sat Dec 9 2017,Sl Benfica,3-1,GD Estoril
Sat Dec 9 2017,Boavista Porto,1-3,Sporting CP
Sun Dec 10 2017,Portimonense SC,0-1,GD Chaves
Sun Dec 10 2017,Os Belenenses,1-1,Pacos De Ferreira
Sun Dec 10 2017,Vitoria Setubal,0-5,FC Porto
Mon Dec 11 2017,Vitoria Guimaraes,1-0,Cd Feirense
Mon Dec 11 2017,CS Maritimo,1-0,Sporting Braga
Fri Dec 15 2017,Pacos De Ferreira,1-2,Boavista Porto
Sat Dec 16 2017,GD Estoril,3-2,CD Aves
Sat Dec 16 2017,Sporting Braga,4-0,Os Belenenses
Sun Dec 17 2017,GD Chaves,1-1,Rio Ave FC
Sun Dec 17 2017,Cd Feirense,1-0,Vitoria Setubal
Sun Dec 17 2017,Sporting CP,2-0,Portimonense SC
Sun Dec 17 2017,CD Tondela,1-5,Sl Benfica
Mon Dec 18 2017,Moreirense FC,2-1,Vitoria Guimaraes
Mon Dec 18 2017,FC Porto,3-1,CS Maritimo
