Date,Team 1,FT,Team 2
Fri Aug 18 2017,CD Leganes,1-0,Cd Alaves
Fri Aug 18 2017,Valencia CF,1-0,Ud Las Palmas
Sat Aug 19 2017,Celta Vigo,2-3,Real Sociedad
Sat Aug 19 2017,Girona FC,2-2,Atletico Madrid
Sat Aug 19 2017,Sevilla FC,1-1,Espanyol Barcelona
Sun Aug 20 2017,Athletic Bilbao,0-0,Getafe CF
Sun Aug 20 2017,FC Barcelona,2-0,Real Betis
Sun Aug 20 2017,Deportivo La Coruna,0-3,Real Madrid
Mon Aug 21 2017,Levante Ud,1-0,Villarreal CF
Mon Aug 21 2017,Malaga CF,0-1,Sd Eibar
Fri Aug 25 2017,Real Sociedad,3-0,Villarreal CF
Fri Aug 25 2017,Real Betis,2-1,Celta Vigo
Sat Aug 26 2017,Cd Alaves,0-2,FC Barcelona
Sat Aug 26 2017,Levante Ud,2-2,Deportivo La Coruna
Sat Aug 26 2017,Girona FC,1-0,Malaga CF
Sat Aug 26 2017,Ud Las Palmas,1-5,Atletico Madrid
Sun Aug 27 2017,Espanyol Barcelona,0-1,CD Leganes
Sun Aug 27 2017,Sd Eibar,0-1,Athletic Bilbao
Sun Aug 27 2017,Getafe CF,0-1,Sevilla FC
Sun Aug 27 2017,Real Madrid,2-2,Valencia CF
Fri Sep 8 2017,CD Leganes,1-2,Getafe CF
Sat Sep 9 2017,Real Madrid,1-1,Levante Ud
Sat Sep 9 2017,Valencia CF,0-0,Atletico Madrid
Sat Sep 9 2017,Sevilla FC,3-0,Sd Eibar
Sat Sep 9 2017,FC Barcelona,5-0,Espanyol Barcelona
Sun Sep 10 2017,Deportivo La Coruna,2-4,Real Sociedad
Sun Sep 10 2017,Athletic Bilbao,2-0,Girona FC
Sun Sep 10 2017,Celta Vigo,1-0,Cd Alaves
Sun Sep 10 2017,Villarreal CF,3-1,Real Betis
Mon Sep 11 2017,Malaga CF,1-3,Ud Las Palmas
Fri Sep 15 2017,Sd Eibar,1-0,CD Leganes
Sat Sep 16 2017,Levante Ud,1-1,Valencia CF
Sat Sep 16 2017,Getafe CF,1-2,FC Barcelona
Sat Sep 16 2017,Real Betis,2-1,Deportivo La Coruna
Sat Sep 16 2017,Atletico Madrid,1-0,Malaga CF
Sun Sep 17 2017,Cd Alaves,0-3,Villarreal CF
Sun Sep 17 2017,Girona FC,0-1,Sevilla FC
Sun Sep 17 2017,Ud Las Palmas,1-0,Athletic Bilbao
Sun Sep 17 2017,Real Sociedad,1-3,Real Madrid
Mon Sep 18 2017,Espanyol Barcelona,2-1,Celta Vigo
Tue Sep 19 2017,Valencia CF,5-0,Malaga CF
Tue Sep 19 2017,FC Barcelona,6-1,Sd Eibar
Wed Sep 20 2017,Athletic Bilbao,1-2,Atletico Madrid
Wed Sep 20 2017,CD Leganes,0-0,Girona FC
Wed Sep 20 2017,Deportivo La Coruna,1-0,Cd Alaves
Wed Sep 20 2017,Sevilla FC,1-0,Ud Las Palmas
Wed Sep 20 2017,Real Madrid,0-1,Real Betis
Thu Sep 21 2017,Villarreal CF,0-0,Espanyol Barcelona
Thu Sep 21 2017,Celta Vigo,1-1,Getafe CF
Thu Sep 21 2017,Levante Ud,3-0,Real Sociedad
Sat Sep 23 2017,Atletico Madrid,2-0,Sevilla FC
Sat Sep 23 2017,Cd Alaves,1-2,Real Madrid
Sat Sep 23 2017,Malaga CF,3-3,Athletic Bilbao
