Date,Team 1,FT,Team 2
Fri Feb 5 2016,CA Banfield,2-0,Gye La Plata
Fri Feb 5 2016,Huracan,0-1,Atletico Rafaela
Sat Feb 6 2016,Rosario Central,1-0,CD Godoy Cruz
Sat Feb 6 2016,Aldosivi,3-0,Olimpo
Sat Feb 6 2016,Argentinos Juniors,1-1,Tigre
Sat Feb 6 2016,Patronato,2-2,San Lorenzo
Sat Feb 6 2016,CA San Martin,2-1,Newells Old Boys
Sun Feb 7 2016,CA Temperley,0-0,Boca Juniors
Sun Feb 7 2016,Independiente,1-0,Belgrano Cordoba
Sun Feb 7 2016,Defensa Y Justicia,2-2,Union De Santa Fe
Sun Feb 7 2016,CA Colon,2-1,Arsenal Sarandi
Mon Feb 8 2016,Atletico Tucuman,2-1,Racing Club
Mon Feb 8 2016,Estudiantes,0-1,CA Lanus
Mon Feb 8 2016,River Plate,5-1,Quilmes Ac
Tue Feb 9 2016,Sarmiento De Junin,1-0,Velez Sarsfield
Fri Feb 12 2016,Arsenal Sarandi,3-1,CA Banfield
Fri Feb 12 2016,Union De Santa Fe,3-0,CA Temperley
Sat Feb 13 2016,CD Godoy Cruz,1-1,Independiente
Sat Feb 13 2016,Quilmes Ac,2-4,CA Colon
Sat Feb 13 2016,San Lorenzo,2-1,Sarmiento De Junin
Sat Feb 13 2016,Atletico Rafaela,0-1,Estudiantes
Sat Feb 13 2016,Aldosivi,3-2,Argentinos Juniors
Sun Feb 14 2016,Velez Sarsfield,2-1,Olimpo
Sun Feb 14 2016,Racing Club,2-2,CA San Martin
Sun Feb 14 2016,Rosario Central,2-0,Newells Old Boys
Sun Feb 14 2016,CA Lanus,2-1,Defensa Y Justicia
Sun Feb 14 2016,Gye La Plata,3-2,Patronato
Sun Feb 14 2016,Boca Juniors,0-1,Atletico Tucuman
Mon Feb 15 2016,Belgrano Cordoba,3-2,River Plate
Tue Feb 16 2016,Olimpo,0-2,San Lorenzo
Tue Feb 16 2016,CA Banfield,1-1,Quilmes Ac
Wed Feb 17 2016,Argentinos Juniors,0-3,Velez Sarsfield
Wed Feb 17 2016,Defensa Y Justicia,4-1,Atletico Rafaela
Wed Feb 17 2016,Newells Old Boys,5-0,Racing Club
Wed Feb 17 2016,Patronato,0-0,Arsenal Sarandi
Wed Feb 17 2016,Independiente,0-2,Rosario Central
Thu Feb 18 2016,CA San Martin,0-1,Boca Juniors
Thu Feb 18 2016,Sarmiento De Junin,1-3,Gye La Plata
Thu Feb 18 2016,Estudiantes,1-1,Tigre
Thu Feb 18 2016,CA Colon,3-0,Belgrano Cordoba
Thu Feb 18 2016,CA Temperley,0-1,CA Lanus
Fri Feb 19 2016,River Plate,1-2,CD Godoy Cruz
Fri Feb 19 2016,Atletico Tucuman,2-0,Union De Santa Fe
Sat Feb 20 2016,San Lorenzo,3-2,Velez Sarsfield
Sat Feb 20 2016,Gye La Plata,1-0,Olimpo
Sun Feb 21 2016,Boca Juniors,4-1,Newells Old Boys
Sun Feb 21 2016,Belgrano Cordoba,0-0,CA Banfield
Sun Feb 21 2016,Tigre,0-2,Defensa Y Justicia
Sun Feb 21 2016,CD Godoy Cruz,4-1,CA Colon
Sun Feb 21 2016,Independiente,1-1,Racing Club
Mon Feb 22 2016,Rosario Central,3-3,River Plate
Mon Feb 22 2016,Quilmes Ac,2-2,Patronato
Tue Feb 23 2016,Arsenal Sarandi,2-0,Sarmiento De Junin
Tue Feb 23 2016,Union De Santa Fe,1-1,CA San Martin
Tue Feb 23 2016,Atletico Rafaela,0-2,CA Temperley
Wed Feb 24 2016,CA Lanus,1-0,Atletico Tucuman
Wed Feb 24 2016,Aldosivi,1-2,Estudiantes
Fri Feb 26 2016,Newells Old Boys,1-1,Union De Santa Fe
Sat Feb 27 2016,CA Banfield,2-3,CD Godoy Cruz
Sat Feb 27 2016,Sarmiento De Junin,2-2,Quilmes Ac
Sat Feb 27 2016,Estudiantes,4-1,Argentinos Juniors
Sat Feb 27 2016,Huracan,1-1,San Lorenzo
Sat Feb 27 2016,Defensa Y Justicia,4-0,Aldosivi
Sun Feb 28 2016,Patronato,2-1,Belgrano Cordoba
Sun Feb 28 2016,CA Colon,0-3,Rosario Central
Sun Feb 28 2016,Olimpo,2-1,Arsenal Sarandi
Sun Feb 28 2016,Atletico Tucuman,3-0,Atletico Rafaela
Sun Feb 28 2016,Racing Club,1-0,Boca Juniors
Mon Feb 29 2016,CA San Martin,2-2,CA Lanus
Mon Feb 29 2016,Velez Sarsfield,2-1,Gye La Plata
Tue Mar 1 2016,River Plate,1-0,Independiente
Tue Mar 1 2016,CA Temperley,2-0,Tigre
Fri Mar 4 2016,Quilmes Ac,1-1,Olimpo
