Date,Team 1,FT,Team 2
Sat Sep 10 1966,FC Barcelona,4-1,Cordoba CF
Sun Sep 11 1966,Real Zaragoza,2-0,Espanyol Barcelona
Sun Sep 11 1966,Deportivo La Coruna,0-1,Valencia CF
Sun Sep 11 1966,Athletic Bilbao,1-0,Atletico Madrid
Sun Sep 11 1966,Real Madrid,4-1,Elche CF
Sun Sep 11 1966,Ud Las Palmas,1-1,Granada CF
Sun Sep 11 1966,Hercules CF,0-0,Ce Sabadell
Sun Sep 11 1966,Sevilla FC,0-0,Pontevedra CF
Sat Sep 17 1966,Valencia CF,2-1,Ud Las Palmas
Sun Sep 18 1966,Granada CF,6-2,Real Zaragoza
Sun Sep 18 1966,Cordoba CF,1-0,Deportivo La Coruna
Sun Sep 18 1966,Ce Sabadell,1-0,Athletic Bilbao
Sun Sep 18 1966,Pontevedra CF,0-1,Real Madrid
Sun Sep 18 1966,Espanyol Barcelona,3-1,Sevilla FC
Sun Sep 18 1966,Elche CF,4-0,Hercules CF
Sun Sep 25 1966,Ud Las Palmas,2-3,Real Zaragoza
Sun Sep 25 1966,Hercules CF,1-0,Pontevedra CF
Sun Sep 25 1966,Valencia CF,3-1,Cordoba CF
Sun Sep 25 1966,FC Barcelona,2-0,Ce Sabadell
Sun Sep 25 1966,Athletic Bilbao,2-1,Elche CF
Sun Sep 25 1966,Deportivo La Coruna,0-1,Atletico Madrid
Sun Sep 25 1966,Real Madrid,1-1,Espanyol Barcelona
Sun Sep 25 1966,Sevilla FC,3-1,Granada CF
Sun Oct 2 1966,Real Zaragoza,2-1,Sevilla FC
Sun Oct 2 1966,Ce Sabadell,3-0,Deportivo La Coruna
Sun Oct 2 1966,Espanyol Barcelona,4-1,Hercules CF
Sun Oct 2 1966,Pontevedra CF,1-1,Athletic Bilbao
Sun Oct 2 1966,Granada CF,1-1,Real Madrid
Sun Oct 2 1966,Elche CF,4-3,FC Barcelona
Sun Oct 2 1966,Atletico Madrid,1-1,Valencia CF
Sun Oct 2 1966,Ud Las Palmas,2-1,Cordoba CF
Sat Oct 8 1966,Real Madrid,3-1,Real Zaragoza
Sun Oct 9 1966,Cordoba CF,1-0,Atletico Madrid
Sun Oct 9 1966,FC Barcelona,0-1,Pontevedra CF
Sun Oct 9 1966,Valencia CF,6-1,Ce Sabadell
Sun Oct 9 1966,Hercules CF,2-1,Granada CF
Sun Oct 9 1966,Sevilla FC,2-0,Ud Las Palmas
Sun Oct 9 1966,Athletic Bilbao,1-3,Espanyol Barcelona
Sun Oct 9 1966,Deportivo La Coruna,1-1,Elche CF
Sun Oct 16 1966,Granada CF,1-1,Athletic Bilbao
Sun Oct 16 1966,Real Zaragoza,2-0,Hercules CF
Sun Oct 16 1966,Pontevedra CF,1-0,Deportivo La Coruna
Sun Oct 16 1966,Ce Sabadell,3-0,Cordoba CF
Sun Oct 16 1966,Espanyol Barcelona,2-0,FC Barcelona
Sun Oct 16 1966,Sevilla FC,0-1,Real Madrid
Sun Oct 16 1966,Atletico Madrid,2-1,Ud Las Palmas
Sun Oct 16 1966,Elche CF,0-0,Valencia CF
Sat Oct 29 1966,FC Barcelona,3-0,Granada CF
Sun Oct 30 1966,Hercules CF,2-1,Sevilla FC
Sun Oct 30 1966,Valencia CF,3-0,Pontevedra CF
Sun Oct 30 1966,Atletico Madrid,3-0,Ce Sabadell
Sun Oct 30 1966,Athletic Bilbao,2-3,Real Zaragoza
Sun Oct 30 1966,Deportivo La Coruna,1-1,Espanyol Barcelona
Sun Oct 30 1966,Ud Las Palmas,1-1,Real Madrid
Sun Oct 30 1966,Cordoba CF,0-0,Elche CF
Tue Nov 1 1966,Atletico Madrid,0-1,FC Barcelona
Sun Nov 6 1966,Granada CF,1-0,Deportivo La Coruna
Sun Nov 6 1966,Elche CF,2-1,Atletico Madrid
Sun Nov 6 1966,Pontevedra CF,2-1,Cordoba CF
Sun Nov 6 1966,Ud Las Palmas,1-0,Ce Sabadell
Sun Nov 6 1966,Real Zaragoza,0-1,FC Barcelona
Sun Nov 6 1966,Espanyol Barcelona,2-1,Valencia CF
Sun Nov 6 1966,Sevilla FC,1-1,Athletic Bilbao
Sun Nov 6 1966,Real Madrid,2-1,Hercules CF
Sun Nov 13 1966,Deportivo La Coruna,4-1,Real Zaragoza
Sun Nov 13 1966,Atletico Madrid,3-1,Pontevedra CF
Sun Nov 13 1966,Valencia CF,3-0,Granada CF
Sun Nov 13 1966,Hercules CF,2-1,Ud Las Palmas
Sun Nov 13 1966,FC Barcelona,5-0,Sevilla FC
Sun Nov 13 1966,Cordoba CF,2-0,Espanyol Barcelona
Sun Nov 13 1966,Athletic Bilbao,0-0,Real Madrid
Sun Nov 13 1966,Ce Sabadell,0-0,Elche CF
Sat Nov 19 1966,Real Zaragoza,3-1,Valencia CF
Sun Nov 20 1966,Espanyol Barcelona,1-0,Atletico Madrid
Sun Nov 20 1966,Sevilla FC,3-0,Deportivo La Coruna
Sun Nov 20 1966,Granada CF,1-1,Cordoba CF
