Date,Team 1,FT,Team 2
Thu Aug 18 1966,Girondins Bordeaux,2-0,Stade Rennes
Fri Aug 19 1966,Toulouse FC,0-2,As Saint Etienne
Fri Aug 19 1966,Olympique Marseille,2-1,Valenciennes FC
Sat Aug 20 1966,FC Nantes,5-2,Olympique Lyon
Sat Aug 20 1966,RC Strasbourg,4-2,As Monaco
Sat Aug 20 1966,Stade Reims,0-1,Lille OSC
Sat Aug 20 1966,FC Rouen,0-1,Stade Francais
Sat Aug 20 1966,RC Lens,2-2,CS Sedan
Sun Aug 21 1966,OGC Nice,1-4,FC Sochaux
Sun Aug 21 1966,Angers Sco,1-2,Nimes Olympique
Wed Aug 24 1966,CS Sedan,3-3,FC Nantes
Fri Aug 26 1966,Valenciennes FC,0-1,Girondins Bordeaux
Fri Aug 26 1966,Nimes Olympique,1-1,OGC Nice
Sat Aug 27 1966,FC Nantes,3-1,RC Lens
Sat Aug 27 1966,FC Sochaux,3-0,FC Rouen
Sat Aug 27 1966,As Saint Etienne,2-0,Olympique Marseille
Sat Aug 27 1966,Stade Francais,0-0,RC Strasbourg
Sat Aug 27 1966,Lille OSC,0-0,Angers Sco
Sat Aug 27 1966,Stade Rennes,5-0,CS Sedan
Sat Aug 27 1966,As Monaco,4-0,Olympique Lyon
Sat Aug 27 1966,Stade Reims,1-3,Toulouse FC
Wed Aug 31 1966,OGC Nice,1-2,As Saint Etienne
Wed Aug 31 1966,Olympique Lyon,0-0,FC Sochaux
Wed Aug 31 1966,RC Strasbourg,4-1,Valenciennes FC
Wed Aug 31 1966,Girondins Bordeaux,1-1,As Monaco
Wed Aug 31 1966,Olympique Marseille,1-2,Stade Francais
Wed Aug 31 1966,Toulouse FC,2-1,Lille OSC
Wed Aug 31 1966,RC Lens,2-1,Stade Rennes
Wed Aug 31 1966,FC Rouen,2-0,Nimes Olympique
Wed Aug 31 1966,Angers Sco,2-2,Stade Reims
Sat Sep 3 1966,FC Nantes,1-0,Stade Rennes
Sat Sep 3 1966,As Saint Etienne,1-1,Girondins Bordeaux
Sat Sep 3 1966,FC Sochaux,0-1,Olympique Marseille
Sat Sep 3 1966,Angers Sco,3-1,RC Strasbourg
Sat Sep 3 1966,Nimes Olympique,2-0,Toulouse FC
Sat Sep 3 1966,Stade Francais,0-1,Olympique Lyon
Sat Sep 3 1966,Stade Reims,2-0,OGC Nice
Sun Sep 4 1966,As Monaco,4-2,CS Sedan
Sun Sep 4 1966,Valenciennes FC,1-3,RC Lens
Sun Sep 4 1966,Lille OSC,1-0,FC Rouen
Fri Sep 9 1966,OGC Nice,1-2,Lille OSC
Fri Sep 9 1966,Toulouse FC,1-1,Angers Sco
Fri Sep 9 1966,Olympique Lyon,0-0,Valenciennes FC
Sat Sep 10 1966,Girondins Bordeaux,0-1,FC Nantes
Sat Sep 10 1966,RC Lens,4-1,Stade Francais
Sat Sep 10 1966,RC Strasbourg,2-1,As Saint Etienne
Sat Sep 10 1966,CS Sedan,1-1,FC Sochaux
Sat Sep 10 1966,Olympique Marseille,4-0,Nimes Olympique
Sat Sep 10 1966,FC Rouen,2-0,Stade Reims
Sun Sep 11 1966,Stade Rennes,3-1,As Monaco
Wed Sep 14 1966,As Monaco,0-0,FC Nantes
Wed Sep 14 1966,As Saint Etienne,3-0,FC Rouen
Wed Sep 14 1966,Lille OSC,0-0,Olympique Marseille
Wed Sep 14 1966,FC Sochaux,1-1,Girondins Bordeaux
Wed Sep 14 1966,Toulouse FC,3-2,RC Lens
Wed Sep 14 1966,Nimes Olympique,1-0,RC Strasbourg
Wed Sep 14 1966,Angers Sco,1-0,OGC Nice
Wed Sep 14 1966,Stade Francais,1-1,CS Sedan
Wed Sep 14 1966,Stade Reims,2-0,Olympique Lyon
Wed Sep 14 1966,Valenciennes FC,3-1,Stade Rennes
Sat Sep 17 1966,FC Nantes,1-1,FC Sochaux
