Date,Team 1,FT,Team 2
Sun Nov 5 1933,Real Oviedo,7-3,FC Barcelona
Sun Nov 5 1933,Valencia CF,2-2,Athletic Bilbao
Sun Nov 5 1933,Espanyol Barcelona,4-0,Real Sociedad
Sun Nov 5 1933,Real Betis,2-1,Racing Santander
Sun Nov 5 1933,Arenas De Getxo,3-3,Real Madrid
Sun Nov 12 1933,FC Barcelona,5-0,Espanyol Barcelona
Sun Nov 12 1933,Real Madrid,3-2,Valencia CF
Sun Nov 12 1933,Athletic Bilbao,5-0,Real Betis
Sun Nov 12 1933,Racing Santander,4-3,Real Oviedo
Sun Nov 12 1933,Real Sociedad,4-1,Arenas De Getxo
Sat Nov 18 1933,Arenas De Getxo,3-1,FC Barcelona
Sat Nov 18 1933,Espanyol Barcelona,5-0,Racing Santander
Sat Nov 18 1933,Valencia CF,2-1,Real Betis
Sat Nov 18 1933,Real Oviedo,2-2,Athletic Bilbao
Sat Nov 18 1933,Real Madrid,2-0,Real Sociedad
Sun Nov 26 1933,FC Barcelona,1-2,Real Madrid
Sun Nov 26 1933,Athletic Bilbao,5-0,Espanyol Barcelona
Sun Nov 26 1933,Real Sociedad,3-1,Valencia CF
Sun Nov 26 1933,Real Betis,4-2,Real Oviedo
Sun Nov 26 1933,Racing Santander,4-1,Arenas De Getxo
Sun Dec 3 1933,Real Madrid,1-0,Racing Santander
Sun Dec 3 1933,Arenas De Getxo,2-0,Athletic Bilbao
Sun Dec 3 1933,Real Sociedad,2-0,FC Barcelona
Sun Dec 3 1933,Valencia CF,1-0,Real Oviedo
Sun Dec 3 1933,Espanyol Barcelona,3-1,Real Betis
Sun Dec 10 1933,Athletic Bilbao,5-1,Real Madrid
Sun Dec 10 1933,Real Oviedo,3-1,Espanyol Barcelona
Sun Dec 10 1933,FC Barcelona,5-2,Valencia CF
Sun Dec 10 1933,Racing Santander,1-1,Real Sociedad
Sun Dec 10 1933,Real Betis,2-0,Arenas De Getxo
Sun Dec 17 1933,Real Madrid,0-1,Real Betis
Sun Dec 17 1933,Arenas De Getxo,1-1,Real Oviedo
Sun Dec 17 1933,Valencia CF,1-0,Espanyol Barcelona
Sun Dec 17 1933,Real Sociedad,3-0,Athletic Bilbao
Sun Dec 17 1933,FC Barcelona,6-3,Racing Santander
Sun Dec 24 1933,Real Oviedo,3-2,Real Madrid
Sun Dec 24 1933,Athletic Bilbao,6-1,FC Barcelona
Sun Dec 24 1933,Real Betis,1-1,Real Sociedad
Sun Dec 24 1933,Valencia CF,1-2,Racing Santander
Sun Dec 24 1933,Espanyol Barcelona,6-2,Arenas De Getxo
Sun Dec 31 1933,Real Sociedad,3-1,Real Oviedo
Sun Dec 31 1933,Racing Santander,3-2,Athletic Bilbao
Sun Dec 31 1933,Real Madrid,3-2,Espanyol Barcelona
Sun Dec 31 1933,Arenas De Getxo,1-2,Valencia CF
Sun Dec 31 1933,FC Barcelona,5-1,Real Betis
Sun Jan 7 1934,Athletic Bilbao,6-2,Valencia CF
Sun Jan 7 1934,Racing Santander,4-1,Real Betis
Sun Jan 7 1934,FC Barcelona,2-0,Real Oviedo
Sun Jan 7 1934,Real Madrid,2-1,Arenas De Getxo
Sun Jan 7 1934,Real Sociedad,3-3,Espanyol Barcelona
Sat Jan 13 1934,Espanyol Barcelona,3-2,FC Barcelona
Sun Jan 14 1934,Valencia CF,2-1,Real Madrid
Sun Jan 14 1934,Real Betis,1-3,Athletic Bilbao
Sun Jan 14 1934,Arenas De Getxo,0-0,Real Sociedad
Sun Jan 14 1934,Real Oviedo,3-1,Racing Santander
Sun Jan 21 1934,Real Sociedad,0-3,Real Madrid
Sun Jan 21 1934,FC Barcelona,4-0,Arenas De Getxo
Sun Jan 21 1934,Athletic Bilbao,6-2,Real Oviedo
Sun Jan 21 1934,Racing Santander,3-1,Espanyol Barcelona
Sun Jan 21 1934,Real Betis,2-1,Valencia CF
Sun Jan 28 1934,Real Madrid,4-0,FC Barcelona
Sun Jan 28 1934,Espanyol Barcelona,1-4,Athletic Bilbao
Sun Jan 28 1934,Valencia CF,4-1,Real Sociedad
Sun Jan 28 1934,Real Oviedo,4-3,Real Betis
Sun Jan 28 1934,Arenas De Getxo,2-1,Racing Santander
Sun Feb 4 1934,Real Betis,3-1,Espanyol Barcelona
Sun Feb 4 1934,Athletic Bilbao,9-0,Arenas De Getxo
Sun Feb 4 1934,Racing Santander,4-3,Real Madrid
Sun Feb 4 1934,FC Barcelona,4-0,Real Sociedad
Sun Feb 11 1934,Valencia CF,2-0,FC Barcelona
Sun Feb 11 1934,Real Madrid,3-0,Athletic Bilbao
Sun Feb 11 1934,Arenas De Getxo,0-1,Real Betis
Sun Feb 11 1934,Espanyol Barcelona,5-2,Real Oviedo
Sun Feb 11 1934,Real Sociedad,2-1,Racing Santander
Sun Feb 18 1934,Espanyol Barcelona,2-2,Valencia CF
Sun Feb 18 1934,Athletic Bilbao,2-1,Real Sociedad
Sun Feb 18 1934,Racing Santander,3-1,FC Barcelona
Sun Feb 18 1934,Real Betis,2-1,Real Madrid
Sun Feb 18 1934,Real Oviedo,7-0,Arenas De Getxo
Thu Feb 22 1934,Real Oviedo,7-0,Valencia CF
Sun Feb 25 1934,FC Barcelona,2-1,Athletic Bilbao
Sun Feb 25 1934,Arenas De Getxo,1-2,Espanyol Barcelona
Sun Feb 25 1934,Racing Santander,2-1,Valencia CF
Sun Feb 25 1934,Real Sociedad,3-2,Real Betis
Sun Feb 25 1934,Real Madrid,5-1,Real Oviedo
Sun Mar 4 1934,Valencia CF,0-0,Arenas De Getxo
Sun Mar 4 1934,Espanyol Barcelona,2-2,Real Madrid
Sun Mar 4 1934,Real Betis,1-0,FC Barcelona
Sun Mar 4 1934,Real Oviedo,3-2,Real Sociedad
Sun Mar 4 1934,Athletic Bilbao,3-1,Racing Santander
