Date,Team 1,FT,Team 2
Sun Aug 18 1957,OGC Nice,6-2,FC Metz
Sun Aug 18 1957,Racing Club De France,6-4,FC Sochaux
Sun Aug 18 1957,RC Lens,3-1,Toulouse FC
Sun Aug 18 1957,Olympique Marseille,3-4,Lille OSC
Sun Aug 18 1957,Ua Sedan Torcy,2-1,As Monaco
Sun Aug 18 1957,Olympique Lyon,1-0,Nimes Olympique
Sun Aug 18 1957,Olympique Ales,0-1,Valenciennes FC
Sun Aug 18 1957,As Beziers,2-2,As Saint Etienne
Tue Aug 20 1957,Angers Sco,0-1,Stade Reims
Sun Aug 25 1957,Nimes Olympique,2-3,RC Lens
Sun Aug 25 1957,Valenciennes FC,3-1,Ua Sedan Torcy
Sun Aug 25 1957,Olympique Lyon,2-0,FC Metz
Sun Aug 25 1957,Stade Reims,3-2,OGC Nice
Sun Aug 25 1957,Olympique Marseille,1-1,Racing Club De France
Sun Aug 25 1957,Lille OSC,1-2,As Saint Etienne
Sun Aug 25 1957,As Monaco,5-2,FC Sochaux
Sun Aug 25 1957,As Beziers,4-4,Angers Sco
Sun Aug 25 1957,Toulouse FC,2-3,Olympique Ales
Sun Sep 8 1957,RC Lens,4-4,Olympique Lyon
Sun Sep 8 1957,Valenciennes FC,1-1,OGC Nice
Sun Sep 8 1957,As Monaco,3-0,Stade Reims
Sun Sep 8 1957,Ua Sedan Torcy,3-1,Nimes Olympique
Sun Sep 8 1957,Olympique Ales,2-1,Lille OSC
Sun Sep 8 1957,As Saint Etienne,1-1,Toulouse FC
Sun Sep 8 1957,Racing Club De France,1-2,Angers Sco
Sun Sep 8 1957,FC Metz,1-2,Olympique Marseille
Sun Sep 8 1957,FC Sochaux,4-0,As Beziers
Sun Sep 15 1957,FC Metz,1-4,RC Lens
Sun Sep 15 1957,Stade Reims,4-0,Olympique Lyon
Sun Sep 15 1957,OGC Nice,8-0,Ua Sedan Torcy
Sun Sep 15 1957,Lille OSC,1-3,Racing Club De France
Sun Sep 15 1957,FC Sochaux,1-0,Valenciennes FC
Sun Sep 15 1957,Angers Sco,3-2,As Monaco
Sun Sep 15 1957,As Saint Etienne,2-2,Olympique Ales
Sun Sep 15 1957,Toulouse FC,1-1,Olympique Marseille
Sun Sep 15 1957,Nimes Olympique,2-0,As Beziers
Wed Sep 18 1957,RC Lens,1-0,OGC Nice
Wed Sep 18 1957,Racing Club De France,3-1,Nimes Olympique
Wed Sep 18 1957,FC Metz,0-2,As Saint Etienne
Wed Sep 18 1957,As Beziers,0-3,As Monaco
Wed Sep 18 1957,FC Sochaux,4-2,Toulouse FC
Thu Sep 19 1957,Angers Sco,0-0,Lille OSC
Thu Sep 19 1957,Stade Reims,4-2,Valenciennes FC
Thu Sep 19 1957,Olympique Ales,2-0,Ua Sedan Torcy
Thu Sep 19 1957,Olympique Marseille,2-3,Olympique Lyon
Sat Sep 21 1957,As Beziers,1-1,RC Lens
Sun Sep 22 1957,Olympique Lyon,2-0,Racing Club De France
Sun Sep 22 1957,Toulouse FC,1-0,Stade Reims
Sun Sep 22 1957,As Saint Etienne,2-2,FC Sochaux
Sun Sep 22 1957,OGC Nice,6-1,Olympique Ales
Sun Sep 22 1957,Lille OSC,1-1,As Monaco
Sun Sep 22 1957,Valenciennes FC,2-2,FC Metz
Sun Sep 22 1957,Nimes Olympique,5-1,Angers Sco
