Date,Team 1,FT,Team 2
Wed Aug 1 2001,Internacional,0-2,Juventude RS
Wed Aug 1 2001,Parana Clube,1-0,Cruzeiro EC
Wed Aug 1 2001,Guarani FC,1-3,Se Palmeiras
Wed Aug 1 2001,Flamengo RJ,0-0,Ponte Preta
Wed Aug 1 2001,Corinthians SP,2-0,EC Vitoria Ba
Wed Aug 1 2001,Botafogo RJ,1-1,America MG
Wed Aug 1 2001,Portuguesa,0-1,Goias EC
Wed Aug 1 2001,Sport Club Recife,1-1,Fluminense RJ
Wed Aug 1 2001,EC Bahia,5-0,Sao Caetano
Wed Aug 1 2001,Botafogo SP,2-2,Sao Paulo FC
Wed Aug 1 2001,Se Gama,0-0,Vasco Da Gama
Thu Aug 2 2001,Atletico Paranaense,2-0,Gremio Porto Alegre
Thu Aug 2 2001,Atletico Mineiro,1-1,Coritiba FC
Thu Aug 2 2001,Santos FC,1-1,Santa Cruz FC
Sat Aug 4 2001,Se Palmeiras,2-1,EC Bahia
Sat Aug 4 2001,Fluminense RJ,2-0,Botafogo SP
Sat Aug 4 2001,Juventude RS,1-4,Atletico Mineiro
Sat Aug 4 2001,America MG,0-0,Portuguesa
Sun Aug 5 2001,Ponte Preta,2-2,Corinthians SP
Sun Aug 5 2001,Sao Paulo FC,0-0,Se Gama
Sun Aug 5 2001,Cruzeiro EC,1-2,Atletico Paranaense
Sun Aug 5 2001,EC Vitoria Ba,1-1,Santos FC
Sun Aug 5 2001,Goias EC,2-0,Flamengo RJ
Sun Aug 5 2001,Sao Caetano,2-0,Sport Club Recife
Sun Aug 5 2001,Gremio Porto Alegre,2-1,Parana Clube
Sun Aug 5 2001,Vasco Da Gama,7-1,Guarani FC
Sun Aug 5 2001,Coritiba FC,3-2,Internacional
Sun Aug 5 2001,Santa Cruz FC,0-4,Botafogo RJ
Wed Aug 8 2001,Cruzeiro EC,0-0,Ponte Preta
Wed Aug 8 2001,EC Vitoria Ba,2-1,Sao Paulo FC
Wed Aug 8 2001,Sao Caetano,0-0,Atletico Paranaense
Wed Aug 8 2001,Gremio Porto Alegre,0-0,Goias EC
Wed Aug 8 2001,Juventude RS,0-0,Se Palmeiras
Wed Aug 8 2001,Flamengo RJ,0-1,Parana Clube
Wed Aug 8 2001,Corinthians SP,3-2,Botafogo SP
Wed Aug 8 2001,Coritiba FC,1-0,Vasco Da Gama
Wed Aug 8 2001,Santa Cruz FC,1-2,Internacional
Wed Aug 8 2001,Se Gama,1-1,Santos FC
Thu Aug 9 2001,Guarani FC,1-1,Fluminense RJ
Thu Aug 9 2001,Botafogo RJ,3-2,EC Bahia
Thu Aug 9 2001,Portuguesa,2-1,Sport Club Recife
Thu Aug 9 2001,America MG,0-1,Atletico Mineiro
Sat Aug 11 2001,Sao Paulo FC,3-1,Santa Cruz FC
Sat Aug 11 2001,Atletico Paranaense,4-0,Flamengo RJ
Sat Aug 11 2001,Vasco Da Gama,1-1,Juventude RS
Sat Aug 11 2001,Botafogo SP,1-4,Cruzeiro EC
Sun Aug 12 2001,Ponte Preta,3-1,Botafogo RJ
Sun Aug 12 2001,Goias EC,0-0,Sao Caetano
Sun Aug 12 2001,Internacional,2-0,Se Gama
Sun Aug 12 2001,Parana Clube,3-1,Corinthians SP
Sun Aug 12 2001,Se Palmeiras,3-1,America MG
Sun Aug 12 2001,Fluminense RJ,1-1,EC Vitoria Ba
Sun Aug 12 2001,Atletico Mineiro,3-0,Guarani FC
Sun Aug 12 2001,Santos FC,2-0,Coritiba FC
Sun Aug 12 2001,Sport Club Recife,2-1,Gremio Porto Alegre
Sun Aug 12 2001,EC Bahia,2-1,Portuguesa
Wed Aug 15 2001,Cruzeiro EC,0-3,America MG
Wed Aug 15 2001,EC Vitoria Ba,1-0,Vasco Da Gama
Wed Aug 15 2001,Parana Clube,1-2,Ponte Preta
Wed Aug 15 2001,Sao Caetano,1-1,Fluminense RJ
Wed Aug 15 2001,Flamengo RJ,2-1,Sport Club Recife
Wed Aug 15 2001,Corinthians SP,0-0,Juventude RS
Wed Aug 15 2001,Santa Cruz FC,3-2,Se Palmeiras
Thu Aug 16 2001,Internacional,2-0,EC Bahia
Thu Aug 16 2001,Atletico Paranaense,1-0,Atletico Mineiro
Thu Aug 16 2001,Guarani FC,1-2,Sao Paulo FC
Thu Aug 16 2001,Botafogo RJ,0-1,Goias EC
Thu Aug 16 2001,Portuguesa,1-0,Coritiba FC
Thu Aug 16 2001,Botafogo SP,0-1,Santos FC
Thu Aug 16 2001,Se Gama,2-1,Gremio Porto Alegre
Sat Aug 18 2001,Se Palmeiras,3-1,Parana Clube
Sat Aug 18 2001,Vasco Da Gama,1-1,Santa Cruz FC
Sat Aug 18 2001,America MG,0-1,Sao Caetano
Sun Aug 19 2001,Ponte Preta,2-1,Portuguesa
Sun Aug 19 2001,Sao Paulo FC,2-1,Atletico Paranaense
Sun Aug 19 2001,Goias EC,0-1,Internacional
Sun Aug 19 2001,Fluminense RJ,4-3,Se Gama
Sun Aug 19 2001,Gremio Porto Alegre,0-0,EC Vitoria Ba
Sun Aug 19 2001,Juventude RS,1-0,Guarani FC
Sun Aug 19 2001,Atletico Mineiro,2-0,Botafogo SP
Sun Aug 19 2001,Santos FC,0-0,Botafogo RJ
Sun Aug 19 2001,Coritiba FC,3-2,Cruzeiro EC
Sun Aug 19 2001,Sport Club Recife,2-1,Corinthians SP
Sun Aug 19 2001,EC Bahia,0-2,Flamengo RJ
Sat Aug 25 2001,Parana Clube,0-1,Portuguesa
Sat Aug 25 2001,Se Palmeiras,3-2,Goias EC
Sat Aug 25 2001,Fluminense RJ,3-2,Santa Cruz FC
Sun Aug 26 2001,Sao Paulo FC,4-0,Ponte Preta
Sun Aug 26 2001,Gremio Porto Alegre,3-1,America MG
Sun Aug 26 2001,Guarani FC,2-2,Internacional
Sun Aug 26 2001,Atletico Mineiro,3-0,EC Vitoria Ba
Sun Aug 26 2001,Santos FC,2-2,Juventude RS
Sun Aug 26 2001,Vasco Da Gama,4-0,Atletico Paranaense
Sun Aug 26 2001,Coritiba FC,1-1,Sao Caetano
Sun Aug 26 2001,Sport Club Recife,0-1,Cruzeiro EC
Sun Aug 26 2001,EC Bahia,1-0,Corinthians SP
Sun Aug 26 2001,Botafogo SP,1-0,Flamengo RJ
Sun Aug 26 2001,Se Gama,0-0,Botafogo RJ
Wed Aug 29 2001,Ponte Preta,3-2,Gremio Porto Alegre
Wed Aug 29 2001,EC Vitoria Ba,1-3,Se Palmeiras
Wed Aug 29 2001,Goias EC,2-0,Fluminense RJ
Wed Aug 29 2001,Internacional,2-0,Botafogo SP
Wed Aug 29 2001,Sao Caetano,4-1,Parana Clube
Wed Aug 29 2001,Juventude RS,3-3,Sao Paulo FC
Wed Aug 29 2001,Atletico Paranaense,1-1,Santos FC
Wed Aug 29 2001,Corinthians SP,2-2,Se Gama
Wed Aug 29 2001,Botafogo RJ,3-1,Sport Club Recife
Wed Aug 29 2001,Santa Cruz FC,1-1,Atletico Mineiro
Wed Aug 29 2001,America MG,1-1,Vasco Da Gama
Thu Aug 30 2001,Cruzeiro EC,1-1,EC Bahia
Thu Aug 30 2001,Flamengo RJ,0-1,Coritiba FC
Thu Aug 30 2001,Portuguesa,1-2,Guarani FC
Sat Sep 1 2001,Parana Clube,3-0,Internacional
Sat Sep 1 2001,Se Palmeiras,2-0,Atletico Paranaense
Sat Sep 1 2001,Fluminense RJ,2-1,Juventude RS
Sat Sep 1 2001,Atletico Mineiro,3-0,Sport Club Recife
Sun Sep 2 2001,Ponte Preta,3-6,Sao Caetano
Sun Sep 2 2001,Sao Paulo FC,0-1,EC Bahia
Sun Sep 2 2001,EC Vitoria Ba,2-2,Cruzeiro EC
Sun Sep 2 2001,Gremio Porto Alegre,1-0,Guarani FC
