Date,Team 1,FT,Team 2
Sat Jul 18 1987,Stade Laval,4-0,As Saint Etienne
Sat Jul 18 1987,Sporting Toulon Var,4-1,OGC Nice
Sat Jul 18 1987,Lille OSC,3-0,FC Nantes
Sat Jul 18 1987,Toulouse FC,3-1,Montpellier HSC
Sat Jul 18 1987,As Monaco,3-1,Olympique Marseille
Sat Jul 18 1987,Paris Saint Germain,2-0,Le Havre Ac
Sat Jul 18 1987,Girondins Bordeaux,3-2,FC Metz
Sat Jul 18 1987,Chamois Niortais,1-1,RC Lens
Sat Jul 18 1987,As Cannes,0-0,Aj Auxerre
Sat Jul 18 1987,Stade Brest,0-0,Matra Racing
Sat Jul 25 1987,RC Lens,1-3,As Monaco
Sat Jul 25 1987,Aj Auxerre,1-3,Girondins Bordeaux
Sat Jul 25 1987,Toulouse FC,1-0,Stade Laval
Sat Jul 25 1987,OGC Nice,2-1,Lille OSC
Sat Jul 25 1987,Montpellier HSC,4-1,Paris Saint Germain
Sat Jul 25 1987,FC Metz,2-0,Sporting Toulon Var
Sat Jul 25 1987,Olympique Marseille,3-0,As Cannes
Sat Jul 25 1987,Le Havre Ac,3-0,Chamois Niortais
Sat Jul 25 1987,Matra Racing,2-2,As Saint Etienne
Sat Jul 25 1987,FC Nantes,1-0,Stade Brest
Sat Aug 1 1987,As Monaco,2-0,Le Havre Ac
Sat Aug 1 1987,Girondins Bordeaux,2-0,Olympique Marseille
Sat Aug 1 1987,Lille OSC,1-0,FC Metz
Sat Aug 1 1987,Paris Saint Germain,2-0,Toulouse FC
Sat Aug 1 1987,Stade Brest,0-1,OGC Nice
Sat Aug 1 1987,Stade Laval,1-1,Matra Racing
Sat Aug 1 1987,Sporting Toulon Var,0-0,Aj Auxerre
Sat Aug 1 1987,As Saint Etienne,1-1,FC Nantes
Sat Aug 1 1987,Chamois Niortais,1-0,Montpellier HSC
Sat Aug 1 1987,As Cannes,2-1,RC Lens
Sat Aug 8 1987,Montpellier HSC,2-1,As Monaco
Sat Aug 8 1987,RC Lens,1-0,Girondins Bordeaux
Sat Aug 8 1987,Toulouse FC,1-0,Chamois Niortais
Sat Aug 8 1987,Paris Saint Germain,0-0,Stade Brest
Sat Aug 8 1987,Aj Auxerre,2-1,Lille OSC
Sat Aug 8 1987,FC Metz,2-1,Stade Laval
Sat Aug 8 1987,Olympique Marseille,1-1,Sporting Toulon Var
Sat Aug 8 1987,FC Nantes,1-1,Matra Racing
Sat Aug 8 1987,OGC Nice,2-3,As Saint Etienne
Sat Aug 8 1987,Le Havre Ac,2-2,As Cannes
