Round,Date,Team 1,Team 2,FT,HT
?,(Fri) Aug/6 2004 (31),Nice (1),Lyon (1),0-1,0-0
?,(Sat) Aug/7 2004 (31),Bastia (1),Strasbourg (1),2-1,1-0
?,(Sat) Aug/7 2004 (31),Caen (1),Istres (1),1-1,1-1
?,(Sat) Aug/7 2004 (31),Lille (1),Auxerre (1),2-0,1-0
?,(Sat) Aug/7 2004 (31),Marseille (1),Bordeaux (1),1-0,0-0
?,(Sat) Aug/7 2004 (31),Metz (1),Nantes (1),1-0,0-0
?,(Sat) Aug/7 2004 (31),Rennes (1),Paris SG (1),2-1,2-1
?,(Sat) Aug/7 2004 (31),Sochaux (1),Ajaccio (1),1-0,1-0
?,(Sat) Aug/7 2004 (31),St Etienne (1),Monaco (1),0-1,0-1
?,(Sat) Aug/7 2004 (31),Toulouse (1),Lens (1),0-0,0-0
?,(Sat) Aug/14 2004 (32),Ajaccio (2),Metz (2),1-2,0-1
?,(Sat) Aug/14 2004 (32),Auxerre (2),Rennes (2),3-1,0-0
?,(Sat) Aug/14 2004 (32),Bordeaux (2),Nice (2),5-1,2-0
?,(Sat) Aug/14 2004 (32),Lens (2),St Etienne (2),3-0,2-0
?,(Sat) Aug/14 2004 (32),Lyon (2),Sochaux (2),1-1,0-1
?,(Sat) Aug/14 2004 (32),Monaco (2),Istres (2),2-1,2-0
?,(Sat) Aug/14 2004 (32),Nantes (2),Bastia (2),1-1,0-0
?,(Sat) Aug/14 2004 (32),Paris SG (2),Caen (2),2-2,1-1
?,(Sat) Aug/14 2004 (32),Strasbourg (2),Toulouse (2),1-4,0-3
?,(Sun) Aug/15 2004 (32),Marseille (2),Lille (2),3-0,1-0
?,(Sat) Aug/21 2004 (33),Bastia (3),Ajaccio (3),1-0,0-0
?,(Sat) Aug/21 2004 (33),Caen (3),Monaco (3),1-0,1-0
?,(Sat) Aug/21 2004 (33),Istres (3),Lens (3),0-2,0-1
?,(Sat) Aug/21 2004 (33),Lille (3),Bordeaux (3),0-0,0-0
?,(Sat) Aug/21 2004 (33),Nice (3),Marseille (3),1-1,0-0
?,(Sat) Aug/21 2004 (33),Rennes (3),Nantes (3),1-0,1-0
?,(Sat) Aug/21 2004 (33),Sochaux (3),Auxerre (3),1-2,1-1
?,(Sat) Aug/21 2004 (33),St Etienne (3),Strasbourg (3),1-1,1-0
?,(Sat) Aug/21 2004 (33),Toulouse (3),Paris SG (3),2-1,0-0
?,(Sun) Aug/22 2004 (33),Metz (3),Lyon (3),1-1,1-0
?,(Fri) Aug/27 2004 (34),Nice (4),Bastia (4),1-1,1-0
?,(Sat) Aug/28 2004 (34),Ajaccio (4),Rennes (4),1-1,1-1
?,(Sat) Aug/28 2004 (34),Auxerre (4),Caen (4),1-0,0-0
?,(Sat) Aug/28 2004 (34),Bordeaux (4),Sochaux (4),2-0,1-0
?,(Sat) Aug/28 2004 (34),Lens (4),Monaco (4),1-1,1-1
?,(Sat) Aug/28 2004 (34),Lyon (4),Lille (4),1-0,1-0
?,(Sat) Aug/28 2004 (34),Marseille (4),Metz (4),1-3,1-1
