Date,Team 1,FT,Team 2
Fri Aug 8 2014,CD Godoy Cruz,3-0,CA Banfield
Sat Aug 9 2014,Rosario Central,3-1,Quilmes Ac
Sun Aug 10 2014,Defensa Y Justicia,1-3,Racing Club
Sun Aug 10 2014,Independiente,3-0,Atletico Rafaela
Sun Aug 10 2014,Boca Juniors,0-1,Newells Old Boys
Mon Aug 11 2014,Gye La Plata,1-1,River Plate
Mon Aug 11 2014,Arsenal Sarandi,2-1,Estudiantes
Tue Aug 12 2014,Tigre,0-1,Velez Sarsfield
Wed Aug 13 2014,CA Lanus,1-0,Belgrano Cordoba
Sat Aug 16 2014,Newells Old Boys,1-1,Gye La Plata
Sat Aug 16 2014,Olimpo,2-1,Tigre
Sat Aug 16 2014,CA Banfield,2-3,Defensa Y Justicia
Sat Aug 16 2014,Velez Sarsfield,2-1,Arsenal Sarandi
Sun Aug 17 2014,Estudiantes,1-0,Independiente
Sun Aug 17 2014,Racing Club,2-0,San Lorenzo
Sun Aug 17 2014,River Plate,2-0,Rosario Central
Mon Aug 18 2014,Belgrano Cordoba,0-1,Boca Juniors
Mon Aug 18 2014,Quilmes Ac,2-2,CD Godoy Cruz
Tue Aug 19 2014,Atletico Rafaela,2-1,CA Lanus
Fri Aug 22 2014,Arsenal Sarandi,1-0,Olimpo
Sat Aug 23 2014,Tigre,4-0,Racing Club
Sat Aug 23 2014,Gye La Plata,1-2,Rosario Central
Sat Aug 23 2014,Newells Old Boys,3-3,Belgrano Cordoba
Sun Aug 24 2014,Independiente,0-4,Velez Sarsfield
Sun Aug 24 2014,San Lorenzo,0-2,CA Banfield
Sun Aug 24 2014,CA Lanus,2-1,Estudiantes
Sun Aug 24 2014,Defensa Y Justicia,1-1,Quilmes Ac
Sun Aug 24 2014,Boca Juniors,0-3,Atletico Rafaela
Mon Aug 25 2014,CD Godoy Cruz,0-4,River Plate
Tue Aug 26 2014,Belgrano Cordoba,0-0,Gye La Plata
Wed Aug 27 2014,Olimpo,1-2,Independiente
Wed Aug 27 2014,Racing Club,1-0,Arsenal Sarandi
Wed Aug 27 2014,Rosario Central,0-1,CD Godoy Cruz
Wed Aug 27 2014,Atletico Rafaela,2-3,Newells Old Boys
Thu Aug 28 2014,River Plate,3-0,Defensa Y Justicia
Thu Aug 28 2014,Estudiantes,3-1,Boca Juniors
Thu Aug 28 2014,CA Banfield,1-0,Tigre
Fri Aug 29 2014,Velez Sarsfield,1-0,CA Lanus
Fri Aug 29 2014,Quilmes Ac,0-3,San Lorenzo
Sat Aug 30 2014,Gye La Plata,2-0,CD Godoy Cruz
Sat Aug 30 2014,Defensa Y Justicia,1-3,Rosario Central
Sun Aug 31 2014,Newells Old Boys,1-0,Estudiantes
Sun Aug 31 2014,Belgrano Cordoba,3-0,Atletico Rafaela
Sun Aug 31 2014,Independiente,2-1,Racing Club
Sun Aug 31 2014,Boca Juniors,3-1,Velez Sarsfield
Mon Sep 1 2014,San Lorenzo,1-3,River Plate
Mon Sep 1 2014,CA Lanus,1-1,Olimpo
Tue Sep 2 2014,Arsenal Sarandi,1-0,CA Banfield
Tue Sep 2 2014,Tigre,0-0,Quilmes Ac
Sat Sep 6 2014,Atletico Rafaela,2-0,Gye La Plata
Sat Sep 6 2014,Velez Sarsfield,0-0,Newells Old Boys
Sat Sep 6 2014,Estudiantes,3-1,Belgrano Cordoba
Sun Sep 7 2014,CA Banfield,0-1,Independiente
Sun Sep 7 2014,Rosario Central,1-1,San Lorenzo
Sun Sep 7 2014,CD Godoy Cruz,1-1,Defensa Y Justicia
Sun Sep 7 2014,Racing Club,1-3,CA Lanus
Mon Sep 8 2014,River Plate,2-0,Tigre
Mon Sep 8 2014,Olimpo,0-1,Boca Juniors
Tue Sep 9 2014,Quilmes Ac,4-0,Arsenal Sarandi
Sat Sep 13 2014,Gye La Plata,0-3,Defensa Y Justicia
Sat Sep 13 2014,San Lorenzo,2-1,CD Godoy Cruz
Sat Sep 13 2014,Tigre,4-1,Rosario Central
Sat Sep 13 2014,Atletico Rafaela,1-0,Estudiantes
Sun Sep 14 2014,Independiente,5-3,Quilmes Ac
Sun Sep 14 2014,CA Lanus,1-0,CA Banfield
Sun Sep 14 2014,Belgrano Cordoba,1-0,Velez Sarsfield
Tue Sep 16 2014,Newells Old Boys,1-0,Olimpo
Sat Sep 20 2014,Quilmes Ac,0-2,CA Lanus
Sat Sep 20 2014,Estudiantes,0-0,Gye La Plata
Sat Sep 20 2014,Olimpo,1-0,Belgrano Cordoba
Sun Sep 21 2014,Velez Sarsfield,0-0,Atletico Rafaela
Sun Sep 21 2014,Rosario Central,3-1,Arsenal Sarandi
Sun Sep 21 2014,CA Banfield,1-1,Boca Juniors
Mon Sep 22 2014,River Plate,4-1,Independiente
Mon Sep 22 2014,Defensa Y Justicia,1-3,San Lorenzo
Tue Sep 23 2014,Racing Club,1-1,Newells Old Boys
Thu Sep 25 2014,Boca Juniors,1-2,Racing Club
Fri Sep 26 2014,Arsenal Sarandi,1-1,River Plate
Fri Sep 26 2014,Estudiantes,3-2,Velez Sarsfield
Sat Sep 27 2014,Atletico Rafaela,0-0,Olimpo
Sat Sep 27 2014,Independiente,2-0,Rosario Central
Sun Sep 28 2014,San Lorenzo,0-2,Gye La Plata
Sun Sep 28 2014,Tigre,2-1,Defensa Y Justicia
Sun Sep 28 2014,Belgrano Cordoba,1-4,Racing Club
Sun Sep 28 2014,Boca Juniors,1-0,Quilmes Ac
Mon Sep 29 2014,CA Lanus,1-1,River Plate
Mon Sep 29 2014,Arsenal Sarandi,3-0,CD Godoy Cruz
Tue Sep 30 2014,Newells Old Boys,0-3,CA Banfield
Wed Oct 1 2014,San Lorenzo,2-0,Olimpo
Sat Oct 4 2014,Gye La Plata,2-0,Velez Sarsfield
Sat Oct 4 2014,CA Banfield,2-2,Belgrano Cordoba
Sat Oct 4 2014,San Lorenzo,0-2,Tigre
Sat Oct 4 2014,Defensa Y Justicia,2-1,Arsenal Sarandi
Sun Oct 5 2014,Olimpo,1-2,Estudiantes
Sun Oct 5 2014,Quilmes Ac,1-1,Newells Old Boys
Sun Oct 5 2014,River Plate,1-1,Boca Juniors
Mon Oct 6 2014,Racing Club,0-2,Atletico Rafaela
Mon Oct 6 2014,Rosario Central,1-2,CA Lanus
Tue Oct 7 2014,CD Godoy Cruz,2-2,Independiente
Fri Oct 10 2014,Tigre,1-0,Gye La Plata
Sat Oct 11 2014,CA Lanus,3-3,CD Godoy Cruz
Sat Oct 11 2014,Velez Sarsfield,4-1,Olimpo
Sat Oct 11 2014,Belgrano Cordoba,1-1,Quilmes Ac
Sun Oct 12 2014,Estudiantes,0-4,Racing Club
Sun Oct 12 2014,Atletico Rafaela,2-2,CA Banfield
Sun Oct 12 2014,Independiente,1-1,Defensa Y Justicia
Sun Oct 12 2014,Boca Juniors,2-1,Rosario Central
Mon Oct 13 2014,Newells Old Boys,0-1,River Plate
Tue Oct 14 2014,Arsenal Sarandi,0-0,San Lorenzo
Wed Oct 15 2014,CD Godoy Cruz,4-3,Tigre
Fri Oct 17 2014,Gye La Plata,0-0,Olimpo
Sat Oct 18 2014,Quilmes Ac,0-0,Atletico Rafaela
Sat Oct 18 2014,CA Banfield,1-1,Estudiantes
Sat Oct 18 2014,San Lorenzo,1-2,Independiente
Sun Oct 19 2014,Defensa Y Justicia,1-2,CA Lanus
Sun Oct 19 2014,Rosario Central,2-0,Newells Old Boys
Sun Oct 19 2014,Racing Club,2-0,Velez Sarsfield
Sun Oct 19 2014,River Plate,3-0,Belgrano Cordoba
Mon Oct 20 2014,CD Godoy Cruz,2-3,Boca Juniors
Tue Oct 21 2014,Tigre,1-1,Arsenal Sarandi
Sat Oct 25 2014,Belgrano Cordoba,1-0,Rosario Central
Sat Oct 25 2014,Independiente,3-1,Tigre
Sat Oct 25 2014,Velez Sarsfield,1-0,CA Banfield
Sat Oct 25 2014,Newells Old Boys,2-2,CD Godoy Cruz
Sun Oct 26 2014,Olimpo,1-1,Racing Club
Sun Oct 26 2014,Estudiantes,1-0,Quilmes Ac
Sun Oct 26 2014,CA Lanus,1-0,San Lorenzo
Sun Oct 26 2014,Boca Juniors,2-0,Defensa Y Justicia
Mon Oct 27 2014,Atletico Rafaela,1-2,River Plate
Tue Oct 28 2014,Arsenal Sarandi,1-0,Gye La Plata
Sat Nov 1 2014,CA Banfield,3-0,Olimpo
Sat Nov 1 2014,CD Godoy Cruz,1-3,Belgrano Cordoba
Sat Nov 1 2014,Gye La Plata,0-1,Racing Club
Sat Nov 1 2014,Quilmes Ac,2-1,Velez Sarsfield
Sun Nov 2 2014,Rosario Central,0-2,Atletico Rafaela
Sun Nov 2 2014,San Lorenzo,2-0,Boca Juniors
Sat Nov 8 2014,CA Lanus,3-2,Arsenal Sarandi
Sat Nov 8 2014,Atletico Rafaela,3-4,CD Godoy Cruz
Sat Nov 8 2014,Olimpo,2-1,Quilmes Ac
Sat Nov 8 2014,Belgrano Cordoba,3-0,Defensa Y Justicia
Sun Nov 9 2014,Independiente,0-1,Gye La Plata
Sun Nov 9 2014,Estudiantes,1-0,Rosario Central
Sun Nov 9 2014,Racing Club,1-0,CA Banfield
Sun Nov 9 2014,Boca Juniors,2-0,Tigre
Mon Nov 10 2014,Velez Sarsfield,1-1,River Plate
Tue Nov 11 2014,Newells Old Boys,3-1,San Lorenzo
Wed Nov 12 2014,Tigre,3-0,CA Lanus
Thu Nov 13 2014,River Plate,0-1,Estudiantes
Thu Nov 13 2014,Arsenal Sarandi,1-1,Independiente
Fri Nov 14 2014,Defensa Y Justicia,2-1,Atletico Rafaela
Sat Nov 15 2014,Rosario Central,0-0,Velez Sarsfield
Sat Nov 15 2014,Gye La Plata,1-1,CA Banfield
Sat Nov 15 2014,San Lorenzo,4-0,Belgrano Cordoba
Sun Nov 16 2014,Quilmes Ac,0-1,Racing Club
Sun Nov 16 2014,CD Godoy Cruz,1-1,Estudiantes
Sun Nov 16 2014,Tigre,1-2,Newells Old Boys
Sun Nov 16 2014,River Plate,1-1,Olimpo
Mon Nov 17 2014,Arsenal Sarandi,1-1,Boca Juniors
Tue Nov 18 2014,Independiente,4-1,CA Lanus
Thu Nov 20 2014,Defensa Y Justicia,1-0,Newells Old Boys
Sat Nov 22 2014,CA Banfield,3-1,Quilmes Ac
Sat Nov 22 2014,Atletico Rafaela,2-0,San Lorenzo
Sat Nov 22 2014,Olimpo,1-1,Rosario Central
Sat Nov 22 2014,Velez Sarsfield,1-4,CD Godoy Cruz
