Date,Team 1,FT,Team 2
Sun Sep 21 1958,Calcio Padova,3-3,As Roma
Sun Sep 21 1958,Udinese Calcio,1-3,Inter
Sun Sep 21 1958,Torino FC,6-1,US Alessandria 1912
Sun Sep 21 1958,SPAL Ferrara,0-0,Juventus
Sun Sep 21 1958,Lazio Roma,1-0,Sampdoria
Sun Sep 21 1958,Genoa CFc,3-3,Ssc Napoli
Sun Sep 21 1958,Acf Fiorentina,3-1,Vicenza Calcio
Sun Sep 21 1958,As Bari,0-0,Bologna FC
Sun Sep 21 1958,AC Milan,2-0,Unione Triestina
Sun Sep 28 1958,Juventus,3-0,Udinese Calcio
Sun Sep 28 1958,Unione Triestina,0-1,SPAL Ferrara
Sun Sep 28 1958,Sampdoria,3-0,Torino FC
Sun Sep 28 1958,As Roma,3-1,As Bari
Sun Sep 28 1958,Vicenza Calcio,1-0,Lazio Roma
Sun Sep 28 1958,Inter,3-0,Calcio Padova
Sun Sep 28 1958,Bologna FC,2-1,Genoa CFc
Sun Sep 28 1958,US Alessandria 1912,1-4,Acf Fiorentina
Sun Sep 28 1958,Ssc Napoli,0-1,AC Milan
Sun Oct 5 1958,SPAL Ferrara,1-1,US Alessandria 1912
Sun Oct 5 1958,Ssc Napoli,3-2,Sampdoria
Sun Oct 5 1958,Udinese Calcio,1-1,Bologna FC
Sun Oct 5 1958,Torino FC,1-1,Vicenza Calcio
Sun Oct 5 1958,Acf Fiorentina,1-1,Lazio Roma
Sun Oct 5 1958,AC Milan,4-2,As Bari
Sun Oct 5 1958,Genoa CFc,4-2,Inter
Sun Oct 5 1958,As Roma,1-0,Unione Triestina
Sun Oct 5 1958,Calcio Padova,1-4,Juventus
Sun Oct 12 1958,Inter,8-0,SPAL Ferrara
Sun Oct 12 1958,Unione Triestina,1-3,Acf Fiorentina
Sun Oct 12 1958,Sampdoria,0-0,AC Milan
Sun Oct 12 1958,Lazio Roma,1-1,Udinese Calcio
Sun Oct 12 1958,Juventus,2-0,Ssc Napoli
Sun Oct 12 1958,Bologna FC,1-0,As Roma
Sun Oct 12 1958,As Bari,4-1,Torino FC
Sun Oct 12 1958,US Alessandria 1912,1-3,Calcio Padova
Sun Oct 12 1958,Vicenza Calcio,1-2,Genoa CFc
Sun Oct 19 1958,Torino FC,1-0,Unione Triestina
Sun Oct 19 1958,As Roma,3-0,Juventus
Sun Oct 19 1958,Udinese Calcio,1-1,Sampdoria
Sun Oct 19 1958,SPAL Ferrara,0-3,Lazio Roma
Sun Oct 19 1958,Ssc Napoli,1-0,Vicenza Calcio
Sun Oct 19 1958,AC Milan,5-1,US Alessandria 1912
Sun Oct 19 1958,Acf Fiorentina,4-0,Inter
Sun Oct 19 1958,Genoa CFc,1-0,As Bari
Sun Oct 19 1958,Calcio Padova,1-0,Bologna FC
Sun Oct 26 1958,Inter,3-2,As Roma
Sun Oct 26 1958,Unione Triestina,1-1,Udinese Calcio
Sun Oct 26 1958,Sampdoria,1-1,Acf Fiorentina
Sun Oct 26 1958,Lazio Roma,0-0,Ssc Napoli
Sun Oct 26 1958,Juventus,4-3,Torino FC
Sun Oct 26 1958,Bologna FC,3-2,SPAL Ferrara
Sun Oct 26 1958,As Bari,1-0,Calcio Padova
Sun Oct 26 1958,US Alessandria 1912,0-0,Genoa CFc
Sun Oct 26 1958,Vicenza Calcio,2-0,AC Milan
Sun Nov 2 1958,As Roma,3-1,Vicenza Calcio
