Date,Team 1,FT,Team 2
Sat Jul 31 1993,Austria Wien,1-0,Vfb Moedling
Sat Jul 31 1993,Sturm Graz,1-0,Rapid Wien
Sat Jul 31 1993,FC Wacker Innsbruck,2-1,SKN St Poelten
Sat Jul 31 1993,Vorwaerts Steyr,4-1,FC Admira Wacker
Sat Jul 31 1993,Sportclub,0-0,RB Salzburg
Wed Aug 4 1993,Rapid Wien,3-1,Wiener Sportklub
Wed Aug 4 1993,FC Admira Wacker,2-2,Sturm Graz
Wed Aug 4 1993,RB Salzburg,1-0,FC Wacker Innsbruck
Wed Aug 4 1993,SKN St Poelten,3-2,Austria Wien
Wed Aug 4 1993,Vfb Moedling,2-1,Vorwaerts Steyr
Sat Aug 7 1993,Austria Wien,1-2,RB Salzburg
Sat Aug 7 1993,FC Wacker Innsbruck,1-1,Rapid Wien
Sat Aug 7 1993,Vorwaerts Steyr,0-1,Sturm Graz
Sat Aug 7 1993,Vfb Moedling,1-0,SKN St Poelten
Sat Aug 7 1993,Sportclub,0-2,FC Admira Wacker
Wed Aug 11 1993,Rapid Wien,0-3,Austria Wien
Wed Aug 11 1993,FC Admira Wacker,0-0,FC Wacker Innsbruck
Wed Aug 11 1993,Sturm Graz,3-1,Wiener Sportklub
Wed Aug 11 1993,RB Salzburg,1-2,Vfb Moedling
Wed Aug 11 1993,SKN St Poelten,3-1,Vorwaerts Steyr
Sat Aug 14 1993,Austria Wien,2-0,FC Admira Wacker
Sat Aug 14 1993,FC Wacker Innsbruck,4-2,Sturm Graz
Sat Aug 14 1993,SKN St Poelten,1-0,RB Salzburg
Sat Aug 14 1993,Vorwaerts Steyr,6-0,Wiener Sportklub
Sat Aug 14 1993,Vfb Moedling,1-1,Rapid Wien
Tue Aug 17 1993,Sturm Graz,2-4,Austria Wien
Fri Aug 20 1993,Rapid Wien,4-0,SKN St Poelten
Fri Aug 20 1993,RB Salzburg,2-0,Vorwaerts Steyr
Sat Aug 21 1993,FC Admira Wacker,2-0,Vfb Moedling
Sat Aug 21 1993,Sportclub,1-1,FC Wacker Innsbruck
Fri Aug 27 1993,SKN St Poelten,0-1,FC Admira Wacker
Fri Aug 27 1993,Vfb Moedling,1-0,Sturm Graz
Sat Aug 28 1993,Austria Wien,3-1,Wiener Sportklub
Sat Aug 28 1993,RB Salzburg,1-0,Rapid Wien
Sat Aug 28 1993,Vorwaerts Steyr,1-1,FC Wacker Innsbruck
Tue Aug 31 1993,Sportclub,1-1,Vfb Moedling
Wed Sep 1 1993,Rapid Wien,1-1,Vorwaerts Steyr
Wed Sep 1 1993,FC Admira Wacker,1-0,RB Salzburg
Wed Sep 1 1993,Sturm Graz,1-0,SKN St Poelten
Wed Sep 1 1993,FC Wacker Innsbruck,3-1,Austria Wien
Sat Sep 4 1993,Austria Wien,4-1,Vorwaerts Steyr
Sat Sep 4 1993,Rapid Wien,1-2,FC Admira Wacker
Sat Sep 4 1993,RB Salzburg,2-0,Sturm Graz
Sat Sep 4 1993,SKN St Poelten,0-1,Wiener Sportklub
Sat Sep 4 1993,Vfb Moedling,1-1,FC Wacker Innsbruck
Tue Sep 7 1993,Sportclub,1-1,SKN St Poelten
Wed Sep 8 1993,FC Admira Wacker,2-0,Rapid Wien
Wed Sep 8 1993,Sturm Graz,0-2,RB Salzburg
Wed Sep 8 1993,FC Wacker Innsbruck,4-2,Vfb Moedling
Wed Sep 8 1993,Vorwaerts Steyr,2-0,Austria Wien
Fri Sep 17 1993,Rapid Wien,2-1,Sturm Graz
Fri Sep 17 1993,RB Salzburg,3-1,Wiener Sportklub
Sat Sep 18 1993,SKN St Poelten,0-0,FC Wacker Innsbruck
Sat Sep 18 1993,Vfb Moedling,0-2,Austria Wien
Sun Sep 19 1993,FC Admira Wacker,2-0,Vorwaerts Steyr
Fri Sep 24 1993,Austria Wien,3-0,SKN St Poelten
Fri Sep 24 1993,FC Wacker Innsbruck,2-0,RB Salzburg
Sat Sep 25 1993,Sturm Graz,1-2,FC Admira Wacker
Sat Sep 25 1993,Vorwaerts Steyr,1-1,Vfb Moedling
Sat Sep 25 1993,Sportclub,0-1,Rapid Wien
Fri Oct 1 1993,FC Admira Wacker,3-0,Wiener Sportklub
Sat Oct 2 1993,Rapid Wien,2-0,FC Wacker Innsbruck
Sat Oct 2 1993,Sturm Graz,1-1,Vorwaerts Steyr
Sat Oct 2 1993,RB Salzburg,2-0,Austria Wien
Sat Oct 2 1993,SKN St Poelten,1-0,Vfb Moedling
Fri Oct 8 1993,Vorwaerts Steyr,2-0,SKN St Poelten
Fri Oct 8 1993,Vfb Moedling,1-1,RB Salzburg
Sat Oct 9 1993,Austria Wien,2-1,Rapid Wien
Sat Oct 9 1993,FC Wacker Innsbruck,2-1,FC Admira Wacker
Sun Oct 10 1993,Sportclub,0-0,Sturm Graz
Fri Oct 22 1993,RB Salzburg,2-0,SKN St Poelten
Sat Oct 23 1993,Rapid Wien,0-0,Vfb Moedling
Sat Oct 23 1993,FC Admira Wacker,0-3,Austria Wien
Sun Oct 24 1993,Sportclub,2-1,Vorwaerts Steyr
Fri Oct 29 1993,FC Wacker Innsbruck,2-0,Wiener Sportklub
Sat Oct 30 1993,Austria Wien,3-0,Sturm Graz
Sat Oct 30 1993,SKN St Poelten,1-1,Rapid Wien
Sat Oct 30 1993,Vorwaerts Steyr,0-2,RB Salzburg
Sat Oct 30 1993,Vfb Moedling,1-1,FC Admira Wacker
Fri Nov 5 1993,FC Admira Wacker,4-3,SKN St Poelten
Sat Nov 6 1993,Rapid Wien,0-3,RB Salzburg
Sat Nov 6 1993,Sturm Graz,1-0,Vfb Moedling
Sat Nov 6 1993,FC Wacker Innsbruck,3-0,Vorwaerts Steyr
Sat Nov 6 1993,Sportclub,0-1,Austria Wien
Sat Nov 13 1993,Austria Wien,2-1,FC Wacker Innsbruck
Sat Nov 13 1993,RB Salzburg,0-0,FC Admira Wacker
Sat Nov 13 1993,SKN St Poelten,2-1,Sturm Graz
Sat Nov 13 1993,Vorwaerts Steyr,3-0,Rapid Wien
Sat Nov 13 1993,Vfb Moedling,1-0,Wiener Sportklub
Wed Nov 17 1993,Sturm Graz,1-0,FC Wacker Innsbruck
Fri Nov 19 1993,Austria Wien,3-0,Vfb Moedling
Sat Nov 20 1993,Sturm Graz,1-2,Rapid Wien
Sat Nov 20 1993,FC Wacker Innsbruck,2-1,SKN St Poelten
