Date,Team 1,FT,Team 2
Sun Aug 22 1993,Vitoria Guimaraes,3-0,FC Famalicao
Sun Aug 22 1993,Uniao Madeira,2-0,Pacos De Ferreira
Sun Aug 22 1993,Sporting CP,2-1,SC Salgueiros
Sun Aug 22 1993,FC Porto,3-3,Sl Benfica
Sun Aug 22 1993,Gil Vicente,1-1,Sporting Braga
Sun Aug 22 1993,Sporting Farense,1-0,Os Belenenses
Sun Aug 22 1993,Estrela Amadora,0-0,Vitoria Setubal
Sun Aug 22 1993,GD Estoril,1-0,SC Beira Mar
Sun Aug 22 1993,Boavista Porto,3-2,CS Maritimo
Sun Aug 29 1993,Vitoria Setubal,2-3,Sporting CP
Sun Aug 29 1993,SC Salgueiros,1-0,Uniao Madeira
Sun Aug 29 1993,Pacos De Ferreira,3-1,Gil Vicente
Sun Aug 29 1993,CS Maritimo,1-0,FC Porto
Sun Aug 29 1993,FC Famalicao,0-3,Boavista Porto
Sun Aug 29 1993,Sporting Braga,0-0,Vitoria Guimaraes
Sun Aug 29 1993,Sl Benfica,1-1,GD Estoril
Sun Aug 29 1993,Os Belenenses,2-1,Estrela Amadora
Sun Aug 29 1993,SC Beira Mar,3-0,Sporting Farense
Sat Sep 11 1993,Vitoria Guimaraes,1-0,Pacos De Ferreira
Sat Sep 11 1993,Uniao Madeira,2-1,Vitoria Setubal
Sat Sep 11 1993,Sporting CP,3-1,Os Belenenses
Sat Sep 11 1993,FC Porto,0-0,FC Famalicao
Sat Sep 11 1993,Gil Vicente,2-0,SC Salgueiros
Sat Sep 11 1993,Sporting Farense,1-0,Estrela Amadora
Sat Sep 11 1993,GD Estoril,0-1,CS Maritimo
Sat Sep 11 1993,Boavista Porto,1-0,Sporting Braga
Sat Sep 11 1993,SC Beira Mar,1-1,Sl Benfica
Sun Sep 19 1993,Vitoria Setubal,0-2,Gil Vicente
Sun Sep 19 1993,SC Salgueiros,1-0,Vitoria Guimaraes
Sun Sep 19 1993,Pacos De Ferreira,1-0,Boavista Porto
Sun Sep 19 1993,CS Maritimo,0-2,SC Beira Mar
Sun Sep 19 1993,FC Famalicao,1-0,GD Estoril
Sun Sep 19 1993,Estrela Amadora,0-4,Sporting CP
Sun Sep 19 1993,Sporting Braga,0-2,FC Porto
Sun Sep 19 1993,Sl Benfica,4-1,Sporting Farense
Sun Sep 19 1993,Os Belenenses,2-1,Uniao Madeira
Sat Sep 25 1993,Vitoria Guimaraes,1-0,Vitoria Setubal
Sat Sep 25 1993,Uniao Madeira,2-2,Estrela Amadora
Sat Sep 25 1993,FC Porto,0-0,Pacos De Ferreira
Sat Sep 25 1993,Gil Vicente,0-3,Os Belenenses
Sat Sep 25 1993,Sporting Farense,0-1,Sporting CP
Sat Sep 25 1993,GD Estoril,1-1,Sporting Braga
Sat Sep 25 1993,Boavista Porto,3-1,SC Salgueiros
Sat Sep 25 1993,Sl Benfica,2-0,CS Maritimo
Sat Sep 25 1993,SC Beira Mar,1-0,FC Famalicao
