Date,Team 1,FT,Team 2
Sun Aug 1 1993,Rosario Central,2-2,Huracan
Fri Sep 10 1993,Independiente,1-1,Velez Sarsfield
Sat Sep 11 1993,Gye La Plata,0-0,Huracan
Sun Sep 12 1993,San Lorenzo,1-1,Racing Club
Sun Sep 12 1993,Rosario Central,1-1,Belgrano Cordoba
Sun Sep 12 1993,Platense,0-0,Ferro Carril Oeste
Sun Sep 12 1993,Deportivo Espanol,0-0,CA Lanus
Sun Sep 12 1993,Deportivo Mandiyu,3-1,Newells Old Boys
Sun Sep 12 1993,Boca Juniors,0-0,Estudiantes
Sun Sep 12 1993,CA Banfield,0-0,River Plate
Sun Sep 12 1993,Argentinos Juniors,0-0,Gimnasia Y Tiro
Fri Sep 17 1993,Racing Club,1-0,Deportivo Espanol
Sat Sep 18 1993,Estudiantes,0-1,San Lorenzo
Sun Sep 19 1993,Velez Sarsfield,1-0,Gye La Plata
Sun Sep 19 1993,River Plate,2-2,Independiente
Sun Sep 19 1993,Newells Old Boys,1-1,Rosario Central
Sun Sep 19 1993,CA Lanus,1-1,Platense
Sun Sep 19 1993,Huracan,2-0,Boca Juniors
Sun Sep 19 1993,Gimnasia Y Tiro,1-2,CA Banfield
Sun Sep 19 1993,Ferro Carril Oeste,1-1,Deportivo Mandiyu
Sun Sep 19 1993,Belgrano Cordoba,2-0,Argentinos Juniors
Fri Sep 24 1993,Independiente,4-0,Gimnasia Y Tiro
Sat Sep 25 1993,Gye La Plata,1-0,River Plate
Sat Sep 25 1993,Argentinos Juniors,0-0,Newells Old Boys
Sun Sep 26 1993,Rosario Central,0-1,Ferro Carril Oeste
Sun Sep 26 1993,Platense,0-3,Racing Club
Sun Sep 26 1993,Huracan,0-1,Velez Sarsfield
Sun Sep 26 1993,Deportivo Espanol,0-0,Estudiantes
Sun Sep 26 1993,Deportivo Mandiyu,1-2,CA Lanus
Sun Sep 26 1993,Boca Juniors,1-0,San Lorenzo
Sun Sep 26 1993,CA Banfield,0-0,Belgrano Cordoba
Wed Sep 29 1993,Velez Sarsfield,1-0,Boca Juniors
Wed Sep 29 1993,River Plate,2-1,Huracan
Wed Sep 29 1993,Racing Club,1-0,Deportivo Mandiyu
Wed Sep 29 1993,Newells Old Boys,1-1,CA Banfield
Wed Sep 29 1993,CA Lanus,3-0,Rosario Central
Wed Sep 29 1993,Belgrano Cordoba,1-1,Independiente
Thu Sep 30 1993,Estudiantes,3-0,Platense
Fri Oct 1 1993,Gimnasia Y Tiro,0-0,Gye La Plata
Mon Oct 4 1993,San Lorenzo,1-2,Deportivo Espanol
Mon Oct 4 1993,Ferro Carril Oeste,1-0,Argentinos Juniors
Fri Oct 8 1993,Boca Juniors,2-0,Deportivo Espanol
Sat Oct 9 1993,Rosario Central,0-0,Racing Club
Sat Oct 9 1993,Argentinos Juniors,1-1,CA Lanus
Sun Oct 10 1993,Velez Sarsfield,0-1,River Plate
Sun Oct 10 1993,Platense,2-2,San Lorenzo
Sun Oct 10 1993,Independiente,3-1,Newells Old Boys
Sun Oct 10 1993,Huracan,0-1,Gimnasia Y Tiro
Sun Oct 10 1993,Gye La Plata,3-0,Belgrano Cordoba
Sun Oct 10 1993,Deportivo Mandiyu,3-1,Estudiantes
Sun Oct 10 1993,CA Banfield,0-1,Ferro Carril Oeste
Fri Oct 15 1993,San Lorenzo,1-0,Deportivo Mandiyu
Sat Oct 16 1993,Belgrano Cordoba,1-0,Huracan
Sun Oct 17 1993,River Plate,0-1,Boca Juniors
Sun Oct 17 1993,Racing Club,0-2,Argentinos Juniors
Sun Oct 17 1993,CA Lanus,0-0,CA Banfield
Sun Oct 17 1993,Gimnasia Y Tiro,2-0,Velez Sarsfield
Sun Oct 17 1993,Ferro Carril Oeste,0-1,Independiente
Sun Oct 17 1993,Estudiantes,1-2,Rosario Central
Sun Oct 17 1993,Deportivo Espanol,0-1,Platense
Sat Oct 23 1993,Rosario Central,2-0,San Lorenzo
Sun Oct 24 1993,Velez Sarsfield,3-0,Belgrano Cordoba
Sun Oct 24 1993,River Plate,1-0,Gimnasia Y Tiro
Sun Oct 24 1993,Independiente,1-2,CA Lanus
Sun Oct 24 1993,Gye La Plata,0-2,Ferro Carril Oeste
Sun Oct 24 1993,Deportivo Mandiyu,0-1,Deportivo Espanol
Sun Oct 24 1993,CA Banfield,2-1,Racing Club
Sun Oct 24 1993,Argentinos Juniors,0-0,Estudiantes
Mon Oct 25 1993,Platense,0-0,Boca Juniors
Sat Oct 30 1993,Newells Old Boys,1-2,Velez Sarsfield
Sun Oct 31 1993,San Lorenzo,5-3,Argentinos Juniors
Sun Oct 31 1993,Racing Club,1-0,Independiente
Sun Oct 31 1993,Platense,1-1,Deportivo Mandiyu
Sun Oct 31 1993,CA Lanus,3-1,Gye La Plata
Sun Oct 31 1993,Ferro Carril Oeste,1-1,Huracan
Sun Oct 31 1993,Estudiantes,0-2,CA Banfield
Sun Oct 31 1993,Deportivo Espanol,1-1,Rosario Central
Sun Oct 31 1993,Boca Juniors,2-0,Gimnasia Y Tiro
Sun Oct 31 1993,Belgrano Cordoba,1-5,River Plate
Fri Nov 5 1993,CA Banfield,0-1,San Lorenzo
Sat Nov 6 1993,Rosario Central,0-2,Platense
Sun Nov 7 1993,Velez Sarsfield,2-0,Ferro Carril Oeste
Sun Nov 7 1993,River Plate,4-1,Newells Old Boys
Sun Nov 7 1993,Independiente,2-0,Estudiantes
Sun Nov 7 1993,Huracan,1-1,CA Lanus
Sun Nov 7 1993,Gimnasia Y Tiro,3-1,Belgrano Cordoba
Sun Nov 7 1993,Gye La Plata,0-0,Racing Club
Sun Nov 7 1993,Deportivo Mandiyu,2-0,Boca Juniors
Sun Nov 7 1993,Argentinos Juniors,6-0,Deportivo Espanol
Fri Nov 12 1993,Racing Club,2-2,Huracan
Sat Nov 13 1993,Newells Old Boys,2-0,Gimnasia Y Tiro
Sun Nov 14 1993,San Lorenzo,3-1,Independiente
Sun Nov 14 1993,Platense,0-0,Argentinos Juniors
Sun Nov 14 1993,CA Lanus,1-1,Velez Sarsfield
Sun Nov 14 1993,Ferro Carril Oeste,0-2,River Plate
Sun Nov 14 1993,Estudiantes,0-2,Gye La Plata
Sun Nov 14 1993,Deportivo Espanol,0-2,CA Banfield
Sun Nov 14 1993,Deportivo Mandiyu,3-3,Rosario Central
Sun Nov 14 1993,Boca Juniors,0-1,Belgrano Cordoba
Fri Nov 19 1993,River Plate,2-0,CA Lanus
Sat Nov 20 1993,Rosario Central,1-1,Boca Juniors
Sat Nov 20 1993,Argentinos Juniors,0-0,Deportivo Mandiyu
Sun Nov 21 1993,Velez Sarsfield,0-2,Racing Club
Sun Nov 21 1993,Independiente,0-0,Deportivo Espanol
Sun Nov 21 1993,Huracan,3-1,Estudiantes
Sun Nov 21 1993,Gimnasia Y Tiro,2-2,Ferro Carril Oeste
Sun Nov 21 1993,Gye La Plata,1-1,San Lorenzo
Sun Nov 21 1993,Belgrano Cordoba,1-0,Newells Old Boys
Sun Nov 21 1993,CA Banfield,1-1,Platense
Wed Nov 24 1993,Newells Old Boys,0-0,Gye La Plata
Sat Nov 27 1993,Rosario Central,1-1,Argentinos Juniors
Sat Nov 27 1993,Estudiantes,0-0,Velez Sarsfield
Sun Nov 28 1993,San Lorenzo,1-0,Huracan
Sun Nov 28 1993,Racing Club,1-0,River Plate
Sun Nov 28 1993,Platense,0-1,Independiente
Sun Nov 28 1993,CA Lanus,4-1,Gimnasia Y Tiro
Sun Nov 28 1993,Ferro Carril Oeste,1-1,Belgrano Cordoba
Sun Nov 28 1993,Deportivo Espanol,1-1,Gye La Plata
Sun Nov 28 1993,Deportivo Mandiyu,3-0,CA Banfield
Sun Nov 28 1993,Boca Juniors,2-0,Newells Old Boys
Thu Dec 2 1993,Huracan,1-1,Newells Old Boys
Fri Dec 3 1993,Independiente,2-1,Deportivo Mandiyu
Sat Dec 4 1993,Argentinos Juniors,1-1,Boca Juniors
Sun Dec 5 1993,Velez Sarsfield,1-0,San Lorenzo
Sun Dec 5 1993,River Plate,0-2,Estudiantes
Sun Dec 5 1993,Newells Old Boys,2-2,Ferro Carril Oeste
Sun Dec 5 1993,Huracan,2-0,Deportivo Espanol
Sun Dec 5 1993,Gye La Plata,3-0,Platense
Sun Dec 5 1993,Belgrano Cordoba,1-1,CA Lanus
Sun Dec 5 1993,CA Banfield,4-1,Rosario Central
Tue Dec 7 1993,Gimnasia Y Tiro,2-2,Racing Club
Sat Dec 11 1993,Rosario Central,1-1,Independiente
Sat Dec 11 1993,Argentinos Juniors,2-1,CA Banfield
Sun Dec 12 1993,San Lorenzo,1-1,River Plate
Sun Dec 12 1993,Racing Club,2-0,Belgrano Cordoba
Sun Dec 12 1993,Platense,5-0,Huracan
