Date,Team 1,FT,Team 2
Sat Oct 23 1993,PSV Eindhoven,2-0,Roda JC Kerkrade
Sat Oct 23 1993,SC Heerenveen,3-1,FC Volendam
Sat Oct 23 1993,Go Ahead Eagles,3-0,FC Groningen
Sun Oct 24 1993,AFC Ajax,2-2,Feyenoord
Sun Oct 24 1993,Willem II,2-0,NAC Breda
Sun Oct 24 1993,FC Utrecht,3-1,RKC Waalwijk
Sun Oct 24 1993,Vitesse,2-1,SC Cambuur
Sun Oct 24 1993,Sparta Rotterdam,2-2,VVV Venlo
Wed Oct 27 1993,PSV Eindhoven,0-1,Vitesse
Wed Oct 27 1993,FC Groningen,0-0,FC Volendam
Wed Oct 27 1993,VVV Venlo,1-1,Feyenoord
Wed Oct 27 1993,SC Cambuur,0-3,AFC Ajax
Fri Oct 29 1993,Roda JC Kerkrade,4-0,FC Utrecht
Sat Oct 30 1993,NAC Breda,0-5,AFC Ajax
Sun Oct 31 1993,Feyenoord,4-0,MVV
Sun Oct 31 1993,FC Twente,0-0,Sparta Rotterdam
Sun Oct 31 1993,RKC Waalwijk,1-2,Go Ahead Eagles
Sun Oct 31 1993,FC Groningen,2-2,SC Heerenveen
Sun Oct 31 1993,FC Volendam,0-3,Willem II
Sun Oct 31 1993,SC Cambuur,1-3,PSV Eindhoven
Sat Nov 6 1993,PSV Eindhoven,3-2,VVV Venlo
Sat Nov 6 1993,SC Heerenveen,1-4,Go Ahead Eagles
Sat Nov 6 1993,Willem II,4-1,FC Groningen
Sat Nov 6 1993,MVV,2-1,NAC Breda
Sun Nov 7 1993,AFC Ajax,3-1,FC Volendam
Sun Nov 7 1993,Roda JC Kerkrade,2-0,RKC Waalwijk
Sun Nov 7 1993,FC Utrecht,2-0,SC Cambuur
Sun Nov 7 1993,Vitesse,3-0,FC Twente
Sun Nov 7 1993,Sparta Rotterdam,3-4,Feyenoord
Sat Nov 13 1993,VVV Venlo,0-0,Willem II
Fri Nov 19 1993,VVV Venlo,1-1,FC Utrecht
Sat Nov 20 1993,NAC Breda,4-3,Sparta Rotterdam
Sat Nov 20 1993,Go Ahead Eagles,3-0,Willem II
Sun Nov 21 1993,Feyenoord,1-1,Vitesse
Sun Nov 21 1993,RKC Waalwijk,1-1,SC Heerenveen
Sun Nov 21 1993,FC Groningen,0-4,AFC Ajax
Sun Nov 21 1993,FC Volendam,5-0,MVV
Sun Nov 28 1993,Willem II,1-1,SC Heerenveen
Mon Nov 29 1993,AFC Ajax,4-0,Go Ahead Eagles
Mon Nov 29 1993,PSV Eindhoven,1-3,Feyenoord
Mon Nov 29 1993,Roda JC Kerkrade,0-0,VVV Venlo
Mon Nov 29 1993,FC Utrecht,1-0,FC Twente
Sat Dec 4 1993,NAC Breda,2-2,PSV Eindhoven
Sat Dec 4 1993,Go Ahead Eagles,2-2,MVV
Sun Dec 5 1993,Feyenoord,1-1,FC Utrecht
Sun Dec 5 1993,Willem II,4-1,RKC Waalwijk
Sun Dec 5 1993,FC Twente,2-1,Roda JC Kerkrade
Sun Dec 5 1993,FC Groningen,1-4,Sparta Rotterdam
Sun Dec 5 1993,FC Volendam,2-0,Vitesse
Sun Dec 5 1993,VVV Venlo,1-0,SC Cambuur
Mon Dec 6 1993,SC Heerenveen,1-4,AFC Ajax
Fri Dec 10 1993,Roda JC Kerkrade,1-0,Feyenoord
Fri Dec 10 1993,SC Cambuur,1-1,FC Twente
Sat Dec 11 1993,PSV Eindhoven,3-0,FC Volendam
Sat Dec 11 1993,MVV,3-1,SC Heerenveen
Sun Dec 12 1993,AFC Ajax,3-1,Willem II
Sun Dec 12 1993,FC Utrecht,0-5,NAC Breda
Sun Dec 12 1993,RKC Waalwijk,1-2,VVV Venlo
Sun Dec 12 1993,Vitesse,4-1,FC Groningen
Sun Dec 12 1993,Sparta Rotterdam,1-0,Go Ahead Eagles
Wed Dec 15 1993,SC Cambuur,0-1,Roda JC Kerkrade
Sat Dec 18 1993,PSV Eindhoven,1-1,FC Groningen
Sat Dec 18 1993,VVV Venlo,0-0,FC Twente
Sat Dec 18 1993,MVV,1-0,Willem II
Sun Dec 19 1993,FC Utrecht,3-1,FC Volendam
Sun Dec 19 1993,Vitesse,5-0,Go Ahead Eagles
Sun Dec 19 1993,Sparta Rotterdam,3-0,SC Heerenveen
Sun Jan 9 1994,FC Twente,0-0,PSV Eindhoven
Sun Jan 9 1994,Vitesse,3-1,NAC Breda
Sun Jan 9 1994,Sparta Rotterdam,4-1,FC Volendam
Sun Jan 9 1994,SC Cambuur,1-1,RKC Waalwijk
Sat Jan 15 1994,SC Heerenveen,0-4,Vitesse
Sat Jan 15 1994,Willem II,5-1,Sparta Rotterdam
Sat Jan 15 1994,NAC Breda,2-0,SC Cambuur
Sat Jan 15 1994,Go Ahead Eagles,0-4,PSV Eindhoven
Sun Jan 16 1994,AFC Ajax,4-1,MVV
Sun Jan 16 1994,Feyenoord,5-0,VVV Venlo
Sun Jan 16 1994,FC Twente,2-1,RKC Waalwijk
Sun Jan 16 1994,FC Groningen,4-1,FC Utrecht
Fri Jan 21 1994,VVV Venlo,1-1,NAC Breda
Sat Jan 22 1994,PSV Eindhoven,1-1,SC Heerenveen
Sat Jan 22 1994,SC Cambuur,3-1,FC Volendam
Wed Jan 26 1994,MVV,2-0,FC Groningen
Sat Jan 29 1994,SC Heerenveen,1-0,FC Utrecht
Sat Jan 29 1994,NAC Breda,2-1,FC Twente
Sat Jan 29 1994,Go Ahead Eagles,3-1,Roda JC Kerkrade
Sun Jan 30 1994,AFC Ajax,3-1,Vitesse
Sun Jan 30 1994,Feyenoord,1-1,RKC Waalwijk
Sun Jan 30 1994,Willem II,1-1,PSV Eindhoven
Sun Jan 30 1994,FC Groningen,2-2,SC Cambuur
Sun Jan 30 1994,FC Volendam,1-1,VVV Venlo
Sun Jan 30 1994,MVV,0-0,Sparta Rotterdam
Wed Feb 2 1994,Roda JC Kerkrade,1-2,NAC Breda
Wed Feb 2 1994,RKC Waalwijk,0-3,AFC Ajax
Sat Feb 5 1994,VVV Venlo,1-3,FC Groningen
Sat Feb 5 1994,SC Cambuur,1-0,Go Ahead Eagles
Sun Feb 6 1994,PSV Eindhoven,4-1,AFC Ajax
Sun Feb 6 1994,Feyenoord,1-1,NAC Breda
Sun Feb 6 1994,Roda JC Kerkrade,1-1,SC Heerenveen
Sun Feb 6 1994,FC Twente,2-0,FC Volendam
Sun Feb 6 1994,FC Utrecht,1-1,Willem II
Sun Feb 6 1994,RKC Waalwijk,3-1,Sparta Rotterdam
Sun Feb 6 1994,Vitesse,1-3,MVV
Fri Feb 11 1994,Vitesse,0-1,Willem II
Sun Feb 13 1994,FC Utrecht,2-0,Go Ahead Eagles
Sun Feb 13 1994,FC Volendam,2-0,Roda JC Kerkrade
Sun Feb 13 1994,Sparta Rotterdam,0-1,AFC Ajax
Fri Feb 18 1994,SC Heerenveen,1-2,SC Cambuur
Fri Feb 18 1994,MVV,2-1,PSV Eindhoven
Sat Feb 19 1994,Willem II,0-3,Roda JC Kerkrade
Sat Feb 19 1994,NAC Breda,3-0,RKC Waalwijk
Sat Feb 19 1994,Go Ahead Eagles,2-0,VVV Venlo
Sun Feb 20 1994,AFC Ajax,3-0,FC Utrecht
Sun Feb 20 1994,FC Groningen,1-1,FC Twente
Sun Feb 20 1994,FC Volendam,0-1,Feyenoord
Sun Feb 20 1994,Sparta Rotterdam,4-1,Vitesse
Wed Feb 23 1994,SC Cambuur,0-0,Feyenoord
Sun Feb 27 1994,FC Twente,1-1,Go Ahead Eagles
Sun Feb 27 1994,FC Utrecht,3-0,MVV
Tue Mar 1 1994,Feyenoord,0-0,SC Heerenveen
Sat Mar 5 1994,Willem II,3-0,VVV Venlo
Sat Mar 5 1994,MVV,1-0,Roda JC Kerkrade
Sun Mar 6 1994,AFC Ajax,3-2,SC Cambuur
Sun Mar 6 1994,FC Groningen,0-0,NAC Breda
Sun Mar 6 1994,Vitesse,0-0,PSV Eindhoven
Sun Mar 6 1994,FC Volendam,3-1,RKC Waalwijk
Sun Mar 6 1994,Sparta Rotterdam,3-2,FC Utrecht
Sun Mar 6 1994,Go Ahead Eagles,1-1,Feyenoord
Tue Mar 8 1994,SC Heerenveen,2-2,FC Twente
Wed Mar 9 1994,Roda JC Kerkrade,2-0,FC Groningen
Wed Mar 9 1994,RKC Waalwijk,0-2,MVV
Fri Mar 11 1994,VVV Venlo,0-1,AFC Ajax
Sat Mar 12 1994,NAC Breda,2-2,Go Ahead Eagles
Sat Mar 12 1994,SC Cambuur,2-1,MVV
Sun Mar 13 1994,Roda JC Kerkrade,4-0,Sparta Rotterdam
Sun Mar 13 1994,FC Twente,1-1,Feyenoord
Sun Mar 13 1994,FC Utrecht,2-1,Vitesse
Sun Mar 13 1994,RKC Waalwijk,1-1,PSV Eindhoven
Sun Mar 13 1994,FC Volendam,1-0,FC Groningen
Fri Mar 18 1994,SC Heerenveen,1-3,NAC Breda
Sat Mar 19 1994,Go Ahead Eagles,0-1,FC Volendam
Sat Mar 19 1994,MVV,0-0,VVV Venlo
Sun Mar 20 1994,PSV Eindhoven,1-0,FC Utrecht
Sun Mar 20 1994,Willem II,2-1,Feyenoord
Sun Mar 20 1994,FC Groningen,1-2,RKC Waalwijk
Sun Mar 20 1994,Vitesse,1-3,Roda JC Kerkrade
Sun Mar 20 1994,Sparta Rotterdam,4-0,SC Cambuur
Fri Mar 25 1994,Roda JC Kerkrade,4-0,PSV Eindhoven
Sat Mar 26 1994,NAC Breda,1-1,Willem II
Sat Mar 26 1994,VVV Venlo,1-4,Sparta Rotterdam
Sat Mar 26 1994,SC Cambuur,1-3,Vitesse
Sun Mar 27 1994,Feyenoord,2-1,AFC Ajax
Sun Mar 27 1994,FC Twente,4-2,MVV
Sun Mar 27 1994,RKC Waalwijk,3-0,FC Utrecht
Sun Mar 27 1994,FC Groningen,3-1,Go Ahead Eagles
Sun Mar 27 1994,FC Volendam,3-0,SC Heerenveen
Thu Mar 31 1994,FC Twente,4-0,Willem II
Fri Apr 1 1994,MVV,1-1,Feyenoord
Sat Apr 2 1994,PSV Eindhoven,2-0,SC Cambuur
Sat Apr 2 1994,Go Ahead Eagles,2-0,RKC Waalwijk
Mon Apr 4 1994,Willem II,0-2,FC Volendam
Mon Apr 4 1994,FC Utrecht,1-1,Roda JC Kerkrade
Mon Apr 4 1994,Vitesse,4-0,VVV Venlo
