Date,Team 1,FT,Team 2
Fri Aug 6 2010,Roda JC Kerkrade,0-0,FC Twente
Sat Aug 7 2010,NEC Nijmegen,1-0,VVV Venlo
Sat Aug 7 2010,Heracles Almelo,3-0,Willem II
Sat Aug 7 2010,De Graafschap,3-0,Sbv Excelsior
Sat Aug 7 2010,SC Heerenveen,1-3,PSV Eindhoven
Sun Aug 8 2010,Vitesse,3-1,ADO Den Haag
Sun Aug 8 2010,Feyenoord,3-1,FC Utrecht
Sun Aug 8 2010,FC Groningen,2-2,AFC Ajax
Sun Aug 8 2010,NAC Breda,1-1,AZ Alkmaar
Sat Aug 14 2010,AFC Ajax,4-2,Vitesse
Sat Aug 14 2010,PSV Eindhoven,6-0,De Graafschap
Sat Aug 14 2010,VVV Venlo,1-0,Heracles Almelo
Sat Aug 14 2010,AZ Alkmaar,1-1,FC Groningen
Sat Aug 14 2010,FC Twente,0-0,SC Heerenveen
Sun Aug 15 2010,Sbv Excelsior,3-2,Feyenoord
Sun Aug 15 2010,FC Utrecht,3-1,NAC Breda
Sun Aug 15 2010,Willem II,3-5,NEC Nijmegen
Sun Aug 15 2010,ADO Den Haag,1-3,Roda JC Kerkrade
Fri Aug 20 2010,Sbv Excelsior,4-2,NEC Nijmegen
Sat Aug 21 2010,Vitesse,0-3,FC Twente
Sat Aug 21 2010,FC Groningen,2-1,De Graafschap
Sat Aug 21 2010,SC Heerenveen,3-1,NAC Breda
Sat Aug 21 2010,AFC Ajax,3-0,Roda JC Kerkrade
Sun Aug 22 2010,FC Utrecht,3-0,Willem II
Sun Aug 22 2010,Heracles Almelo,1-1,Feyenoord
Sun Aug 22 2010,VVV Venlo,2-3,ADO Den Haag
Sun Aug 22 2010,PSV Eindhoven,3-1,AZ Alkmaar
Fri Aug 27 2010,Willem II,0-3,FC Groningen
Sat Aug 28 2010,NAC Breda,2-0,VVV Venlo
Sat Aug 28 2010,Roda JC Kerkrade,4-2,Heracles Almelo
Sat Aug 28 2010,NEC Nijmegen,2-2,SC Heerenveen
Sun Aug 29 2010,De Graafschap,0-5,AFC Ajax
Sun Aug 29 2010,FC Twente,4-0,FC Utrecht
Sun Aug 29 2010,Feyenoord,4-0,Vitesse
Sun Aug 29 2010,ADO Den Haag,2-2,PSV Eindhoven
Sun Aug 29 2010,AZ Alkmaar,1-1,Sbv Excelsior
Sat Sep 11 2010,VVV Venlo,1-2,FC Twente
Sat Sep 11 2010,AFC Ajax,2-0,Willem II
Sat Sep 11 2010,PSV Eindhoven,3-1,NEC Nijmegen
Sat Sep 11 2010,SC Heerenveen,2-1,Vitesse
Sat Sep 11 2010,Sbv Excelsior,2-1,Heracles Almelo
Sat Sep 11 2010,AZ Alkmaar,1-2,Roda JC Kerkrade
Sun Sep 12 2010,NAC Breda,2-0,Feyenoord
Sun Sep 12 2010,ADO Den Haag,2-2,De Graafschap
Sun Sep 12 2010,FC Groningen,1-0,FC Utrecht
Fri Sep 17 2010,De Graafschap,3-2,SC Heerenveen
Sat Sep 18 2010,FC Groningen,2-0,Sbv Excelsior
Sat Sep 18 2010,Vitesse,0-0,NAC Breda
Sat Sep 18 2010,Willem II,2-4,ADO Den Haag
Sun Sep 19 2010,Feyenoord,1-2,AFC Ajax
Sun Sep 19 2010,NEC Nijmegen,0-1,AZ Alkmaar
Sun Sep 19 2010,Roda JC Kerkrade,0-0,PSV Eindhoven
Sun Sep 19 2010,FC Utrecht,3-2,VVV Venlo
Sun Sep 19 2010,Heracles Almelo,0-0,FC Twente
Sat Sep 25 2010,SC Heerenveen,2-2,Roda JC Kerkrade
Sat Sep 25 2010,PSV Eindhoven,1-1,FC Groningen
Sat Sep 25 2010,AZ Alkmaar,1-0,FC Utrecht
Sat Sep 25 2010,ADO Den Haag,3-2,Heracles Almelo
Sat Sep 25 2010,FC Twente,2-2,AFC Ajax
Sun Sep 26 2010,Sbv Excelsior,0-2,Vitesse
Sun Sep 26 2010,NAC Breda,2-1,Willem II
Sun Sep 26 2010,NEC Nijmegen,3-0,Feyenoord
Sun Sep 26 2010,VVV Venlo,1-0,De Graafschap
Fri Oct 1 2010,Vitesse,0-0,Willem II
Sat Oct 2 2010,NAC Breda,2-0,NEC Nijmegen
Sat Oct 2 2010,Sbv Excelsior,1-2,Roda JC Kerkrade
