Date,Team 1,FT,Team 2
Sat Aug 28 2010,Udinese Calcio,0-1,Genoa CFc
Sat Aug 28 2010,As Roma,0-0,Ac Cesena
Sun Aug 29 2010,As Bari,1-0,Juventus
Sun Aug 29 2010,Chievo Verona,2-1,Calcio Catania
Sun Aug 29 2010,AC Milan,4-0,US Lecce
Sun Aug 29 2010,Parma FC,2-0,Brescia Calcio
Sun Aug 29 2010,Sampdoria,2-0,Lazio Roma
Sun Aug 29 2010,US Palermo,0-0,Cagliari Calcio
Sun Aug 29 2010,Acf Fiorentina,1-1,Ssc Napoli
Mon Aug 30 2010,Bologna FC,0-0,Inter
Sat Sep 11 2010,Inter,2-1,Udinese Calcio
Sat Sep 11 2010,Cagliari Calcio,5-1,As Roma
Sat Sep 11 2010,Ac Cesena,2-0,AC Milan
Sun Sep 12 2010,Brescia Calcio,3-2,US Palermo
Sun Sep 12 2010,Calcio Catania,2-1,Parma FC
Sun Sep 12 2010,Genoa CFc,1-3,Chievo Verona
Sun Sep 12 2010,Juventus,3-3,Sampdoria
Sun Sep 12 2010,Lazio Roma,3-1,Bologna FC
Sun Sep 12 2010,US Lecce,1-0,Acf Fiorentina
Sun Sep 12 2010,Ssc Napoli,2-2,As Bari
Sat Sep 18 2010,Acf Fiorentina,1-2,Lazio Roma
Sat Sep 18 2010,AC Milan,1-1,Calcio Catania
Sun Sep 19 2010,As Bari,0-0,Cagliari Calcio
Sun Sep 19 2010,Chievo Verona,0-1,Brescia Calcio
Sun Sep 19 2010,Ac Cesena,1-0,US Lecce
Sun Sep 19 2010,Parma FC,1-1,Genoa CFc
Sun Sep 19 2010,As Roma,2-2,Bologna FC
Sun Sep 19 2010,Udinese Calcio,0-4,Juventus
Sun Sep 19 2010,US Palermo,1-2,Inter
Sun Sep 19 2010,Sampdoria,1-2,Ssc Napoli
Wed Sep 22 2010,Brescia Calcio,2-1,As Roma
Wed Sep 22 2010,Cagliari Calcio,0-0,Sampdoria
Wed Sep 22 2010,Calcio Catania,2-0,Ac Cesena
Wed Sep 22 2010,Genoa CFc,1-1,Acf Fiorentina
Wed Sep 22 2010,Inter,4-0,As Bari
Wed Sep 22 2010,Lazio Roma,1-1,AC Milan
Wed Sep 22 2010,US Lecce,1-1,Parma FC
Wed Sep 22 2010,Bologna FC,2-1,Udinese Calcio
Wed Sep 22 2010,Ssc Napoli,1-3,Chievo Verona
Thu Sep 23 2010,Juventus,1-3,US Palermo
Sat Sep 25 2010,AC Milan,1-0,Genoa CFc
Sat Sep 25 2010,As Roma,1-0,Inter
Sun Sep 26 2010,Ac Cesena,1-4,Ssc Napoli
Sun Sep 26 2010,As Bari,2-1,Brescia Calcio
Sun Sep 26 2010,Chievo Verona,0-1,Lazio Roma
Sun Sep 26 2010,Calcio Catania,1-1,Bologna FC
Sun Sep 26 2010,Sampdoria,0-0,Udinese Calcio
Sun Sep 26 2010,US Palermo,2-2,US Lecce
Sun Sep 26 2010,Acf Fiorentina,2-0,Parma FC
Sun Sep 26 2010,Juventus,4-2,Cagliari Calcio
Sat Oct 2 2010,Udinese Calcio,1-0,Ac Cesena
Sat Oct 2 2010,Parma FC,0-1,AC Milan
Sun Oct 3 2010,US Lecce,1-0,Calcio Catania
Sun Oct 3 2010,Chievo Verona,0-0,Cagliari Calcio
Sun Oct 3 2010,Genoa CFc,2-1,As Bari
Sun Oct 3 2010,Lazio Roma,1-0,Brescia Calcio
Sun Oct 3 2010,Bologna FC,1-1,Sampdoria
Sun Oct 3 2010,Acf Fiorentina,1-2,US Palermo
Sun Oct 3 2010,Ssc Napoli,2-0,As Roma
Sun Oct 3 2010,Inter,0-0,Juventus
Sat Oct 16 2010,AC Milan,3-1,Chievo Verona
Sat Oct 16 2010,As Roma,2-1,Genoa CFc
Sun Oct 17 2010,Cagliari Calcio,0-1,Inter
Sun Oct 17 2010,Brescia Calcio,0-1,Udinese Calcio
Sun Oct 17 2010,Calcio Catania,1-1,Ssc Napoli
Sun Oct 17 2010,Ac Cesena,1-1,Parma FC
Sun Oct 17 2010,Juventus,4-0,US Lecce
Sun Oct 17 2010,US Palermo,4-1,Bologna FC
Sun Oct 17 2010,Sampdoria,2-1,Acf Fiorentina
Sun Oct 17 2010,As Bari,0-2,Lazio Roma
Sat Oct 23 2010,Acf Fiorentina,2-1,As Bari
Sun Oct 24 2010,Parma FC,0-0,As Roma
Sun Oct 24 2010,Bologna FC,0-0,Juventus
Sun Oct 24 2010,Chievo Verona,2-1,Ac Cesena
Sun Oct 24 2010,Genoa CFc,1-0,Calcio Catania
Sun Oct 24 2010,Lazio Roma,2-1,Cagliari Calcio
Sun Oct 24 2010,US Lecce,2-1,Brescia Calcio
Sun Oct 24 2010,Udinese Calcio,2-1,US Palermo
Sun Oct 24 2010,Inter,1-1,Sampdoria
Mon Oct 25 2010,Ssc Napoli,1-2,AC Milan
Fri Oct 29 2010,Genoa CFc,0-1,Inter
Sat Oct 30 2010,As Roma,2-0,US Lecce
Sat Oct 30 2010,AC Milan,1-2,Juventus
Sun Oct 31 2010,US Palermo,0-1,Lazio Roma
Sun Oct 31 2010,As Bari,0-2,Udinese Calcio
Sun Oct 31 2010,Brescia Calcio,0-1,Ssc Napoli
Sun Oct 31 2010,Cagliari Calcio,2-0,Bologna FC
Sun Oct 31 2010,Ac Cesena,0-1,Sampdoria
Sun Oct 31 2010,Parma FC,0-0,Chievo Verona
Sun Oct 31 2010,Calcio Catania,0-0,Acf Fiorentina
Sat Nov 6 2010,Bologna FC,2-0,US Lecce
Sat Nov 6 2010,Inter,1-1,Brescia Calcio
Sun Nov 7 2010,Acf Fiorentina,1-0,Chievo Verona
Sun Nov 7 2010,As Bari,2-3,AC Milan
