Date,Team 1,Team 2,FT,HT
2010-08-07,Auxerre,Lorient,2-2,1-1
2010-08-07,Lens,Nancy,1-2,0-1
2010-08-07,Lyon,Monaco,0-0,0-0
2010-08-07,Marseille,Caen,1-2,0-0
2010-08-07,Nice,Valenciennes,0-0,0-0
2010-08-07,Paris SG,St Etienne,3-1,2-1
2010-08-07,Rennes,Lille,1-1,1-0
2010-08-07,Sochaux,Arles,2-1,1-1
2010-08-07,Toulouse,Brest,2-0,1-0
2010-08-08,Montpellier,Bordeaux,1-0,0-0
2010-08-14,Arles,Lens,0-1,0-0
2010-08-15,Bordeaux,Toulouse,1-2,0-1
2010-08-14,Brest,Auxerre,1-1,1-0
2010-08-15,Caen,Lyon,3-2,2-2
2010-08-15,Lille,Paris SG,0-0,0-0
2010-08-14,Lorient,Nice,1-2,1-1
2010-08-14,Nancy,Rennes,0-3,0-0
2010-08-14,St Etienne,Sochaux,3-2,1-0
2010-08-14,Valenciennes,Marseille,3-2,0-0
2010-08-17,Monaco,Montpellier,0-0,0-0
2010-08-21,Auxerre,Valenciennes,1-1,0-0
2010-08-21,Lens,Monaco,2-2,0-1
2010-08-21,Lyon,Brest,1-0,1-0
2010-08-21,Marseille,Lorient,2-0,1-0
2010-08-21,Nice,Nancy,1-1,1-0
2010-08-21,Rennes,St Etienne,0-0,0-0
2010-08-21,Toulouse,Arles,2-1,1-0
2010-08-22,Montpellier,Caen,0-0,0-0
2010-08-22,Paris SG,Bordeaux,1-2,0-0
2010-08-22,Sochaux,Lille,0-0,0-0
2010-08-28,Arles,Rennes,0-1,0-1
2010-08-28,Caen,Brest,0-2,0-0
2010-08-28,Lorient,Lyon,2-0,1-0
2010-08-28,Nancy,Toulouse,0-2,0-0
2010-08-28,St Etienne,Lens,3-1,1-0
2010-08-28,Valenciennes,Montpellier,0-1,0-1
2010-08-29,Bordeaux,Marseille,1-1,0-1
2010-08-29,Lille,Nice,1-1,0-1
2010-08-29,Monaco,Auxerre,2-0,0-0
2010-08-29,Sochaux,Paris SG,3-1,3-0
2010-09-11,Auxerre,Caen,1-1,1-0
2010-09-11,Lens,Lille,1-4,0-1
2010-09-11,Lyon,Valenciennes,1-1,1-0
2010-09-11,Montpellier,Nancy,1-2,0-2
2010-09-11,Paris SG,Arles,4-0,2-0
2010-09-11,Rennes,Sochaux,2-1,1-1
2010-09-11,Toulouse,St Etienne,0-1,0-1
2010-09-12,Brest,Lorient,0-0,0-0
2010-09-12,Marseille,Monaco,2-2,1-1
2010-09-12,Nice,Bordeaux,2-1,1-0
2010-09-18,Arles,Marseille,0-3,0-2
2010-09-18,Lorient,Caen,0-1,0-1
2010-09-18,Monaco,Toulouse,0-0,0-0
2010-09-18,Nancy,Brest,0-2,0-0
2010-09-18,Sochaux,Nice,4-0,1-0
2010-09-18,St Etienne,Montpellier,3-0,2-0
2010-09-18,Valenciennes,Lens,1-1,0-0
2010-09-19,Bordeaux,Lyon,2-0,0-0
2010-09-19,Lille,Auxerre,1-0,0-0
2010-09-19,Paris SG,Rennes,0-0,0-0
2010-09-25,Auxerre,Nancy,2-2,2-2
2010-09-25,Caen,Bordeaux,0-0,0-0
2010-09-25,Lorient,Monaco,2-1,1-1
2010-09-25,Lyon,St Etienne,0-1,0-0
2010-09-25,Marseille,Sochaux,2-1,1-0
2010-09-25,Montpellier,Arles,3-1,1-0
2010-09-25,Nice,Rennes,1-2,1-1
2010-09-26,Brest,Valenciennes,1-0,0-0
2010-09-26,Lens,Paris SG,0-2,0-0
2010-09-26,Toulouse,Lille,1-1,0-1
2010-10-02,Arles,Auxerre,0-4,0-2
2010-10-02,Bordeaux,Lorient,1-0,1-0
2010-10-02,Monaco,Brest,0-1,0-0
2010-10-02,Nancy,Lyon,2-3,0-1
2010-10-02,Sochaux,Lens,3-0,2-0
2010-10-02,St Etienne,Marseille,1-1,0-1
2010-10-02,Valenciennes,Caen,2-1,2-0
2010-10-03,Lille,Montpellier,3-1,2-1
2010-10-03,Paris SG,Nice,0-0,0-0
2010-10-03,Rennes,Toulouse,3-1,1-0
2010-10-16,Auxerre,Bordeaux,0-1,0-1
2010-10-16,Brest,Arles,0-0,0-0
2010-10-16,Caen,Monaco,0-0,0-0
2010-10-16,Marseille,Nancy,1-0,1-0
2010-10-16,Montpellier,Sochaux,2-0,2-0
2010-10-16,Toulouse,Paris SG,0-2,0-1
2010-10-17,Lens,Rennes,0-0,0-0
2010-10-17,Lorient,Valenciennes,2-1,2-1
2010-10-17,Lyon,Lille,3-1,2-0
2010-10-17,Nice,St Etienne,2-1,0-1
2010-10-23,Bordeaux,Brest,0-2,0-1
2010-10-23,Lens,Nice,1-0,0-0
2010-10-23,Monaco,Valenciennes,0-2,0-1
2010-10-23,Nancy,Lorient,1-0,1-0
2010-10-23,Rennes,Montpellier,0-1,0-1
2010-10-23,Sochaux,Toulouse,1-3,0-0
2010-10-23,St Etienne,Caen,1-1,0-1
2010-10-24,Arles,Lyon,1-1,1-0
2010-10-24,Lille,Marseille,1-3,1-0
2010-10-24,Paris SG,Auxerre,2-3,1-3
2010-10-30,Auxerre,Nice,2-0,1-0
2010-10-30,Brest,St Etienne,2-0,0-0
2010-10-30,Caen,Nancy,2-3,1-2
2010-10-30,Lorient,Arles,2-0,0-0
2010-10-30,Lyon,Sochaux,2-1,1-0
2010-10-30,Toulouse,Lens,1-1,1-1
2010-10-31,Montpellier,Paris SG,1-1,1-1
2010-10-31,Valenciennes,Lille,1-1,0-0
2010-11-02,Monaco,Bordeaux,2-2,0-1
2010-11-06,Arles,Caen,3-2,2-1
2010-11-06,Bordeaux,Valenciennes,1-1,0-1
2010-11-06,Rennes,Lyon,1-1,1-0
2010-11-06,Sochaux,Auxerre,1-1,0-1
2010-11-06,St Etienne,Lorient,1-2,0-1
2010-11-07,Lens,Montpellier,2-0,2-0
2010-11-07,Lille,Brest,3-1,1-0
2010-11-07,Nancy,Monaco,0-4,0-0
2010-11-07,Nice,Toulouse,2-0,1-0
2010-11-07,Paris SG,Marseille,2-1,2-1
2010-11-13,Bordeaux,Nancy,2-1,1-0
2010-11-13,Brest,Sochaux,1-1,1-1
2010-11-13,Caen,Lille,2-5,1-3
2010-11-13,Marseille,Lens,1-1,1-0
2010-11-13,Monaco,Arles,0-0,0-0
2010-11-13,Montpellier,Toulouse,1-0,1-0
2010-11-14,Auxerre,Rennes,2-1,0-0
2010-11-14,Lorient,Paris SG,1-1,1-0
2010-11-14,Lyon,Nice,1-0,1-0
2010-11-20,Nancy,Valenciennes,2-0,1-0
2010-11-20,Nice,Montpellier,0-1,0-0
2010-11-20,Paris SG,Caen,2-1,1-0
2010-11-20,Rennes,Brest,2-1,1-0
2010-11-20,Sochaux,Lorient,2-0,1-0
2010-11-20,St Etienne,Auxerre,1-1,0-1
2010-11-20,Toulouse,Marseille,0-1,0-0
2010-11-21,Arles,Bordeaux,2-4,1-2
2010-11-21,Lens,Lyon,1-3,1-0
2010-11-21,Lille,Monaco,2-1,1-0
2010-11-27,Bordeaux,Lille,1-1,0-1
2010-11-27,Lorient,Rennes,2-0,0-0
2010-11-27,Marseille,Montpellier,4-0,2-0
2010-11-27,Monaco,Nice,1-1,0-0
2010-11-27,Nancy,St Etienne,1-1,0-0
2010-11-27,Valenciennes,Arles,3-0,1-0
