Date,Team 1,FT,Team 2
Sat Apr 15 2006,Juventude RS,1-0,Parana Clube
Sat Apr 15 2006,Vasco Da Gama,1-1,Internacional
Sun Apr 16 2006,Santa Cruz FC,0-0,Figueirense
Sun Apr 16 2006,Se Palmeiras,2-3,Ponte Preta
Sun Apr 16 2006,Gremio Porto Alegre,2-0,Corinthians SP
Sun Apr 16 2006,Sao Paulo FC,1-0,Flamengo RJ
Sun Apr 16 2006,Sao Caetano,2-1,Cruzeiro EC
Sun Apr 16 2006,Botafogo RJ,1-0,Fortaleza
Sun Apr 16 2006,Goias EC,0-0,Santos FC
Sun Apr 16 2006,Atletico Paranaense,1-2,Fluminense RJ
Sat Apr 22 2006,Corinthians SP,3-0,Sao Caetano
Sat Apr 22 2006,Fluminense RJ,1-0,Goias EC
Sat Apr 22 2006,Figueirense,6-1,Se Palmeiras
Sun Apr 23 2006,Cruzeiro EC,3-1,Gremio Porto Alegre
Sun Apr 23 2006,Internacional,1-0,Santa Cruz FC
Sun Apr 23 2006,Santos FC,2-0,Atletico Paranaense
Sun Apr 23 2006,Ponte Preta,1-2,Vasco Da Gama
Sun Apr 23 2006,Flamengo RJ,3-1,Juventude RS
Sun Apr 23 2006,Parana Clube,0-0,Botafogo RJ
Sun Apr 23 2006,Fortaleza,1-0,Sao Paulo FC
Sat Apr 29 2006,Fortaleza,2-1,Sao Caetano
Sat Apr 29 2006,Botafogo RJ,0-4,Atletico Paranaense
Sat Apr 29 2006,Sao Paulo FC,4-0,Santa Cruz FC
Sun Apr 30 2006,Internacional,1-0,Flamengo RJ
Sun Apr 30 2006,Ponte Preta,3-2,Corinthians SP
Sun Apr 30 2006,Parana Clube,5-2,Gremio Porto Alegre
Sun Apr 30 2006,Se Palmeiras,1-2,Santos FC
Sun Apr 30 2006,Vasco Da Gama,1-1,Fluminense RJ
Sun Apr 30 2006,Juventude RS,1-1,Goias EC
Sun Apr 30 2006,Figueirense,0-2,Cruzeiro EC
Sat May 6 2006,Santa Cruz FC,1-1,Ponte Preta
Sat May 6 2006,Fluminense RJ,2-1,Parana Clube
Sat May 6 2006,Santos FC,2-0,Fortaleza
Sun May 7 2006,Goias EC,2-1,Figueirense
Sun May 7 2006,Gremio Porto Alegre,1-2,Vasco Da Gama
Sun May 7 2006,Sao Caetano,2-0,Se Palmeiras
Sun May 7 2006,Atletico Paranaense,1-2,Internacional
Sun May 7 2006,Corinthians SP,1-3,Sao Paulo FC
Sun May 7 2006,Flamengo RJ,1-0,Botafogo RJ
Sun May 7 2006,Cruzeiro EC,2-0,Juventude RS
Sat May 13 2006,Sao Caetano,0-2,Juventude RS
Sat May 13 2006,Botafogo RJ,2-2,Gremio Porto Alegre
Sat May 13 2006,Santos FC,3-1,Ponte Preta
Sun May 14 2006,Santa Cruz FC,1-2,Atletico Paranaense
Sun May 14 2006,Internacional,3-1,Sao Paulo FC
Sun May 14 2006,Figueirense,1-0,Fluminense RJ
Sun May 14 2006,Se Palmeiras,1-1,Cruzeiro EC
Sun May 14 2006,Flamengo RJ,0-0,Fortaleza
Sun May 14 2006,Parana Clube,1-2,Corinthians SP
Sun May 14 2006,Goias EC,2-0,Vasco Da Gama
Sat May 20 2006,Atletico Paranaense,2-3,Goias EC
Sat May 20 2006,Fortaleza,1-1,Parana Clube
Sat May 20 2006,Internacional,2-4,Figueirense
Sat May 20 2006,Sao Paulo FC,1-0,Sao Caetano
Sun May 21 2006,Vasco Da Gama,2-4,Corinthians SP
Sun May 21 2006,Cruzeiro EC,2-1,Flamengo RJ
Sun May 21 2006,Se Palmeiras,2-1,Santa Cruz FC
Sun May 21 2006,Ponte Preta,1-1,Gremio Porto Alegre
Sun May 21 2006,Fluminense RJ,1-0,Santos FC
Sun May 21 2006,Juventude RS,1-0,Botafogo RJ
Wed May 24 2006,Juventude RS,4-1,Santa Cruz FC
Wed May 24 2006,Parana Clube,0-0,Figueirense
Wed May 24 2006,Cruzeiro EC,5-1,Ponte Preta
Wed May 24 2006,Sao Paulo FC,4-1,Se Palmeiras
Wed May 24 2006,Sao Caetano,2-1,Atletico Paranaense
Wed May 24 2006,Flamengo RJ,2-2,Santos FC
Wed May 24 2006,Fortaleza,2-5,Fluminense RJ
Thu May 25 2006,Botafogo RJ,4-1,Vasco Da Gama
Thu May 25 2006,Gremio Porto Alegre,2-0,Goias EC
Thu May 25 2006,Corinthians SP,0-1,Internacional
Sat May 27 2006,Figueirense,0-0,Fortaleza
Sat May 27 2006,Ponte Preta,2-5,Parana Clube
Sat May 27 2006,Atletico Paranaense,1-0,Juventude RS
Sun May 28 2006,Internacional,1-1,Cruzeiro EC
Sun May 28 2006,Santos FC,2-0,Corinthians SP
Sun May 28 2006,Santa Cruz FC,1-1,Botafogo RJ
Sun May 28 2006,Goias EC,2-1,Sao Caetano
Sun May 28 2006,Fluminense RJ,1-0,Flamengo RJ
Sun May 28 2006,Vasco Da Gama,1-1,Sao Paulo FC
Sun May 28 2006,Se Palmeiras,0-1,Gremio Porto Alegre
Wed May 31 2006,Juventude RS,0-1,Ponte Preta
Wed May 31 2006,Cruzeiro EC,1-1,Atletico Paranaense
Wed May 31 2006,Fortaleza,1-1,Vasco Da Gama
Wed May 31 2006,Sao Caetano,1-1,Internacional
Wed May 31 2006,Flamengo RJ,2-1,Se Palmeiras
Wed May 31 2006,Gremio Porto Alegre,1-0,Santos FC
Wed May 31 2006,Sao Paulo FC,1-0,Fluminense RJ
Thu Jun 1 2006,Parana Clube,3-0,Santa Cruz FC
Thu Jun 1 2006,Botafogo RJ,2-3,Figueirense
Thu Jun 1 2006,Corinthians SP,0-1,Goias EC
Sat Jun 3 2006,Fluminense RJ,2-3,Internacional
Sat Jun 3 2006,Fortaleza,0-2,Cruzeiro EC
Sat Jun 3 2006,Gremio Porto Alegre,1-1,Sao Caetano
Sun Jun 4 2006,Atletico Paranaense,2-0,Se Palmeiras
Sun Jun 4 2006,Vasco Da Gama,2-1,Santa Cruz FC
Sun Jun 4 2006,Corinthians SP,0-2,Flamengo RJ
Sun Jun 4 2006,Ponte Preta,3-0,Figueirense
Sun Jun 4 2006,Goias EC,1-2,Parana Clube
Sun Jun 4 2006,Juventude RS,1-1,Sao Paulo FC
