Date,Team 1,FT,Team 2
Sun Sep 6 1992,Ssc Napoli,0-0,Brescia Calcio
Sun Sep 6 1992,AC Milan,1-0,US Foggia
Sun Sep 6 1992,Torino FC,4-1,Ancona Calcio
Sun Sep 6 1992,Udinese Calcio,2-1,Inter
Sun Sep 6 1992,As Roma,0-1,Pescara Calcio
Sun Sep 6 1992,Sampdoria,3-3,Lazio Roma
Sun Sep 6 1992,Cagliari Calcio,0-0,Juventus
Sun Sep 6 1992,Acf Fiorentina,1-1,Genoa CFc
Sun Sep 6 1992,Atalanta,2-1,Parma FC
Sun Sep 13 1992,Parma FC,3-1,Udinese Calcio
Sun Sep 13 1992,Pescara Calcio,4-5,AC Milan
Sun Sep 13 1992,Lazio Roma,2-2,Acf Fiorentina
Sun Sep 13 1992,Ancona Calcio,2-3,Sampdoria
Sun Sep 13 1992,Brescia Calcio,0-0,Torino FC
Sun Sep 13 1992,Inter,3-1,Cagliari Calcio
Sun Sep 13 1992,Juventus,4-1,Atalanta
Sun Sep 13 1992,US Foggia,2-4,Ssc Napoli
Sun Sep 13 1992,Genoa CFc,0-0,As Roma
Sun Sep 20 1992,Ssc Napoli,1-2,Inter
Sun Sep 20 1992,AC Milan,2-0,Atalanta
Sun Sep 20 1992,Torino FC,3-0,Parma FC
Sun Sep 20 1992,Udinese Calcio,1-2,Sampdoria
Sun Sep 20 1992,As Roma,3-1,US Foggia
Sun Sep 20 1992,Cagliari Calcio,1-1,Lazio Roma
Sun Sep 20 1992,Acf Fiorentina,7-1,Ancona Calcio
Sun Sep 20 1992,Brescia Calcio,1-0,Pescara Calcio
Sun Sep 20 1992,Genoa CFc,2-2,Juventus
Sun Sep 27 1992,Parma FC,2-0,Brescia Calcio
Sun Sep 27 1992,Pescara Calcio,2-2,Torino FC
Sun Sep 27 1992,Lazio Roma,1-1,Genoa CFc
Sun Sep 27 1992,Ancona Calcio,1-1,Ssc Napoli
Sun Sep 27 1992,Atalanta,2-1,Cagliari Calcio
Sun Sep 27 1992,Inter,2-2,Acf Fiorentina
Sun Sep 27 1992,Juventus,1-1,As Roma
Sun Sep 27 1992,US Foggia,1-0,Udinese Calcio
Sun Oct 4 1992,Lazio Roma,5-2,Parma FC
Sun Oct 4 1992,Ssc Napoli,2-3,Juventus
Sun Oct 4 1992,Torino FC,2-2,Sampdoria
Sun Oct 4 1992,Udinese Calcio,5-2,Pescara Calcio
Sun Oct 4 1992,Cagliari Calcio,1-0,As Roma
Sun Oct 4 1992,Acf Fiorentina,3-7,AC Milan
Sun Oct 4 1992,Brescia Calcio,4-1,US Foggia
Sun Oct 4 1992,Inter,1-0,Atalanta
Sun Oct 4 1992,Genoa CFc,4-4,Ancona Calcio
Sun Oct 18 1992,Parma FC,3-0,Ancona Calcio
Sun Oct 18 1992,Pescara Calcio,0-2,Acf Fiorentina
Sun Oct 18 1992,AC Milan,5-3,Lazio Roma
Sun Oct 18 1992,Udinese Calcio,2-0,Ssc Napoli
Sun Oct 18 1992,As Roma,4-1,Inter
Sun Oct 18 1992,Sampdoria,2-0,Cagliari Calcio
Sun Oct 18 1992,Atalanta,0-0,Torino FC
Sun Oct 18 1992,Juventus,0-0,Brescia Calcio
Sun Oct 18 1992,US Foggia,2-2,Genoa CFc
Sun Oct 25 1992,Parma FC,0-2,AC Milan
Sun Oct 25 1992,Lazio Roma,3-0,Atalanta
Sun Oct 25 1992,Ssc Napoli,2-1,As Roma
Sun Oct 25 1992,Torino FC,1-0,Udinese Calcio
Sun Oct 25 1992,Acf Fiorentina,4-0,Sampdoria
Sun Oct 25 1992,Ancona Calcio,3-0,US Foggia
Sun Oct 25 1992,Brescia Calcio,0-2,Cagliari Calcio
Sun Oct 25 1992,Inter,3-1,Juventus
Sun Oct 25 1992,Genoa CFc,4-3,Pescara Calcio
Sun Nov 1 1992,Pescara Calcio,1-4,Inter
Sun Nov 1 1992,AC Milan,0-0,Torino FC
Sun Nov 1 1992,Udinese Calcio,0-0,Lazio Roma
Sun Nov 1 1992,As Roma,2-3,Brescia Calcio
Sun Nov 1 1992,Sampdoria,4-1,Genoa CFc
Sun Nov 1 1992,Cagliari Calcio,2-1,Acf Fiorentina
Sun Nov 1 1992,Atalanta,3-2,Ssc Napoli
Sun Nov 1 1992,Juventus,5-1,Ancona Calcio
Sun Nov 1 1992,US Foggia,1-0,Parma FC
Sun Nov 8 1992,Ssc Napoli,1-5,AC Milan
Sun Nov 8 1992,Parma FC,1-0,Pescara Calcio
Sun Nov 8 1992,Lazio Roma,1-2,Torino FC
Sun Nov 8 1992,Acf Fiorentina,2-1,As Roma
Sun Nov 8 1992,Ancona Calcio,5-1,Brescia Calcio
Sun Nov 8 1992,Atalanta,2-1,US Foggia
Sun Nov 8 1992,Inter,0-0,Sampdoria
Sun Nov 8 1992,Juventus,5-1,Udinese Calcio
Sun Nov 8 1992,Genoa CFc,2-3,Cagliari Calcio
Sun Nov 22 1992,Pescara Calcio,2-0,Atalanta
Sun Nov 22 1992,AC Milan,1-1,Inter
Sun Nov 22 1992,Torino FC,1-2,Juventus
Sun Nov 22 1992,Udinese Calcio,3-0,Genoa CFc
Sun Nov 22 1992,As Roma,2-1,Ancona Calcio
Sun Nov 22 1992,Sampdoria,3-1,Ssc Napoli
Sun Nov 22 1992,Cagliari Calcio,0-1,Parma FC
Sun Nov 22 1992,Brescia Calcio,1-1,Acf Fiorentina
Sun Nov 22 1992,US Foggia,2-1,Lazio Roma
Sun Nov 29 1992,Ssc Napoli,4-1,Acf Fiorentina
Sun Nov 29 1992,Parma FC,1-0,Sampdoria
Sun Nov 29 1992,Lazio Roma,1-1,As Roma
Sun Nov 29 1992,Ancona Calcio,0-1,Cagliari Calcio
Sun Nov 29 1992,Atalanta,2-0,Udinese Calcio
Sun Nov 29 1992,Inter,2-1,Brescia Calcio
