Date,Team 1,FT,Team 2
Sat Aug 22 1992,Sporting CP,0-0,FC Tirsense
Sat Aug 22 1992,Sporting Farense,2-0,SC Salgueiros
Sat Aug 22 1992,Boavista Porto,1-0,Os Belenenses
Sun Aug 23 1992,Vitoria Guimaraes,2-1,SC Beira Mar
Sun Aug 23 1992,Gil Vicente,0-1,Sporting Braga
Sun Aug 23 1992,SC Espinho,1-0,FC Famalicao
Sun Aug 23 1992,GD Chaves,1-2,CS Maritimo
Tue Aug 25 1992,FC Porto,1-0,GD Estoril
Sat Aug 29 1992,SC Salgueiros,2-0,Sporting CP
Sun Aug 30 1992,FC Tirsense,1-2,Sl Benfica
Sun Aug 30 1992,Pacos De Ferreira,1-4,Boavista Porto
Sun Aug 30 1992,CS Maritimo,3-0,Vitoria Guimaraes
Sun Aug 30 1992,FC Famalicao,1-0,Sporting Farense
Sun Aug 30 1992,GD Estoril,2-1,GD Chaves
Sun Aug 30 1992,Sporting Braga,2-2,SC Espinho
Sun Aug 30 1992,Os Belenenses,0-0,FC Porto
Sun Aug 30 1992,SC Beira Mar,0-1,Gil Vicente
Sat Sep 5 1992,Sporting CP,4-3,FC Famalicao
Sat Sep 5 1992,Sl Benfica,0-0,SC Salgueiros
Sun Sep 6 1992,Vitoria Guimaraes,2-1,GD Estoril
Sun Sep 6 1992,FC Porto,2-0,Pacos De Ferreira
Sun Sep 6 1992,Gil Vicente,1-2,SC Espinho
Sun Sep 6 1992,Sporting Farense,1-0,Sporting Braga
Sun Sep 6 1992,GD Chaves,1-2,Os Belenenses
Sun Sep 6 1992,Boavista Porto,0-0,FC Tirsense
Sun Sep 6 1992,SC Beira Mar,1-0,CS Maritimo
Sat Sep 12 1992,Sporting Braga,0-0,Sporting CP
Sun Sep 13 1992,FC Tirsense,3-1,FC Porto
Sun Sep 13 1992,SC Salgueiros,3-1,Boavista Porto
Sun Sep 13 1992,Pacos De Ferreira,2-0,GD Chaves
Sun Sep 13 1992,CS Maritimo,7-1,Gil Vicente
Sun Sep 13 1992,FC Famalicao,1-0,Sl Benfica
Sun Sep 13 1992,GD Estoril,1-0,SC Beira Mar
Sun Sep 13 1992,SC Espinho,1-1,Sporting Farense
Sun Sep 13 1992,Os Belenenses,3-0,Vitoria Guimaraes
Sat Sep 19 1992,Sporting CP,3-0,SC Espinho
Sun Sep 20 1992,Vitoria Guimaraes,3-2,Pacos De Ferreira
Sun Sep 20 1992,FC Porto,4-1,SC Salgueiros
Sun Sep 20 1992,CS Maritimo,1-1,GD Estoril
Sun Sep 20 1992,Gil Vicente,2-1,Sporting Farense
Sun Sep 20 1992,GD Chaves,1-0,FC Tirsense
Sun Sep 20 1992,Boavista Porto,4-0,FC Famalicao
Sun Sep 20 1992,Sl Benfica,2-1,Sporting Braga
Sun Sep 20 1992,SC Beira Mar,0-0,Os Belenenses
Sat Sep 26 1992,FC Tirsense,2-0,Vitoria Guimaraes
Sat Sep 26 1992,Sporting Farense,0-0,Sporting CP
Sun Sep 27 1992,SC Salgueiros,1-1,GD Chaves
Sun Sep 27 1992,Pacos De Ferreira,4-0,SC Beira Mar
Sun Sep 27 1992,FC Famalicao,0-3,FC Porto
Sun Sep 27 1992,GD Estoril,0-0,Gil Vicente
Sun Sep 27 1992,SC Espinho,0-3,Sl Benfica
Sun Sep 27 1992,Sporting Braga,2-1,Boavista Porto
Sun Sep 27 1992,Os Belenenses,1-0,CS Maritimo
Sun Oct 4 1992,Vitoria Guimaraes,0-1,SC Salgueiros
Sun Oct 4 1992,FC Porto,2-0,Sporting Braga
Sun Oct 4 1992,CS Maritimo,1-1,Pacos De Ferreira
Sun Oct 4 1992,Gil Vicente,1-0,Sporting CP
Sun Oct 4 1992,GD Estoril,1-1,Os Belenenses
Sun Oct 4 1992,GD Chaves,1-1,FC Famalicao
Sun Oct 4 1992,Boavista Porto,0-0,SC Espinho
Sun Oct 4 1992,Sl Benfica,1-0,Sporting Farense
