Date,Team 1,FT,Team 2
Fri Aug 10 2012,Willem II,1-1,NAC Breda
Sat Aug 11 2012,RKC Waalwijk,3-2,PSV Eindhoven
Sat Aug 11 2012,Roda JC Kerkrade,1-1,PEC Zwolle
Sat Aug 11 2012,Heracles Almelo,1-1,VVV Venlo
Sun Aug 12 2012,FC Utrecht,0-1,Feyenoord
Sun Aug 12 2012,FC Twente,4-1,FC Groningen
Sun Aug 12 2012,Vitesse,2-2,ADO Den Haag
Sun Aug 12 2012,SC Heerenveen,0-2,NEC Nijmegen
Sun Aug 12 2012,AFC Ajax,2-2,AZ Alkmaar
Sat Aug 18 2012,PSV Eindhoven,5-0,Roda JC Kerkrade
Sat Aug 18 2012,NAC Breda,0-1,FC Twente
Sat Aug 18 2012,PEC Zwolle,0-1,Vitesse
Sat Aug 18 2012,VVV Venlo,1-3,FC Utrecht
Sat Aug 18 2012,Feyenoord,1-1,SC Heerenveen
Sun Aug 19 2012,FC Groningen,1-1,Willem II
Sun Aug 19 2012,ADO Den Haag,2-2,RKC Waalwijk
Sun Aug 19 2012,AZ Alkmaar,3-1,Heracles Almelo
Sun Aug 19 2012,NEC Nijmegen,1-6,AFC Ajax
Fri Aug 24 2012,RKC Waalwijk,1-0,Roda JC Kerkrade
Sat Aug 25 2012,FC Utrecht,1-1,PEC Zwolle
Sat Aug 25 2012,VVV Venlo,2-4,ADO Den Haag
Sat Aug 25 2012,AFC Ajax,5-0,NAC Breda
Sun Aug 26 2012,AZ Alkmaar,0-0,SC Heerenveen
Sun Aug 26 2012,Heracles Almelo,1-2,Feyenoord
Sun Aug 26 2012,Willem II,0-2,Vitesse
Sun Aug 26 2012,NEC Nijmegen,1-3,FC Twente
Sun Aug 26 2012,FC Groningen,1-3,PSV Eindhoven
Fri Aug 31 2012,ADO Den Haag,0-1,FC Groningen
Sat Sep 1 2012,Roda JC Kerkrade,3-0,Willem II
Sat Sep 1 2012,PEC Zwolle,0-4,NEC Nijmegen
Sat Sep 1 2012,RKC Waalwijk,1-1,Heracles Almelo
Sat Sep 1 2012,NAC Breda,1-1,FC Utrecht
Sun Sep 2 2012,Vitesse,1-0,Feyenoord
Sun Sep 2 2012,FC Twente,1-0,VVV Venlo
Sun Sep 2 2012,PSV Eindhoven,5-1,AZ Alkmaar
Sun Sep 2 2012,SC Heerenveen,2-2,AFC Ajax
Sat Sep 15 2012,AFC Ajax,2-0,RKC Waalwijk
Sat Sep 15 2012,Willem II,2-6,FC Twente
Sat Sep 15 2012,SC Heerenveen,1-3,ADO Den Haag
Sat Sep 15 2012,VVV Venlo,2-2,NEC Nijmegen
Sat Sep 15 2012,Feyenoord,2-0,PEC Zwolle
Sun Sep 16 2012,Heracles Almelo,2-1,NAC Breda
Sun Sep 16 2012,AZ Alkmaar,4-0,Roda JC Kerkrade
Sun Sep 16 2012,FC Utrecht,1-0,PSV Eindhoven
Sun Sep 16 2012,FC Groningen,0-3,Vitesse
Fri Sep 21 2012,Roda JC Kerkrade,0-1,FC Utrecht
Sat Sep 22 2012,PEC Zwolle,1-2,FC Groningen
Sat Sep 22 2012,RKC Waalwijk,1-1,VVV Venlo
Sat Sep 22 2012,Vitesse,1-1,Heracles Almelo
Sat Sep 22 2012,NEC Nijmegen,0-0,Willem II
Sun Sep 23 2012,ADO Den Haag,1-1,AFC Ajax
Sun Sep 23 2012,FC Twente,1-0,SC Heerenveen
Sun Sep 23 2012,NAC Breda,2-1,AZ Alkmaar
Sun Sep 23 2012,PSV Eindhoven,3-0,Feyenoord
Sat Sep 29 2012,SC Heerenveen,2-0,NAC Breda
Sat Sep 29 2012,Feyenoord,5-1,NEC Nijmegen
Sat Sep 29 2012,FC Utrecht,1-2,Vitesse
Sat Sep 29 2012,Heracles Almelo,3-3,ADO Den Haag
Sat Sep 29 2012,AFC Ajax,1-0,FC Twente
Sun Sep 30 2012,AZ Alkmaar,3-3,RKC Waalwijk
Sun Sep 30 2012,Willem II,0-1,PEC Zwolle
Sun Sep 30 2012,FC Groningen,3-2,Roda JC Kerkrade
Sun Sep 30 2012,VVV Venlo,0-6,PSV Eindhoven
Fri Oct 5 2012,NEC Nijmegen,1-1,ADO Den Haag
Sat Oct 6 2012,Willem II,1-0,RKC Waalwijk
Sat Oct 6 2012,PEC Zwolle,0-3,Heracles Almelo
Sat Oct 6 2012,Vitesse,3-3,SC Heerenveen
Sat Oct 6 2012,Roda JC Kerkrade,3-0,VVV Venlo
Sun Oct 7 2012,AFC Ajax,1-1,FC Utrecht
Sun Oct 7 2012,PSV Eindhoven,4-0,NAC Breda
Sun Oct 7 2012,FC Groningen,2-2,Feyenoord
Sun Oct 7 2012,FC Twente,3-0,AZ Alkmaar
Sat Oct 20 2012,Heracles Almelo,3-3,AFC Ajax
Sat Oct 20 2012,Roda JC Kerkrade,1-1,FC Twente
Sat Oct 20 2012,NAC Breda,0-3,Vitesse
Sat Oct 20 2012,PSV Eindhoven,3-2,Willem II
Sat Oct 20 2012,AZ Alkmaar,0-2,NEC Nijmegen
Sun Oct 21 2012,ADO Den Haag,1-2,FC Utrecht
Sun Oct 21 2012,VVV Venlo,2-3,Feyenoord
Sun Oct 21 2012,SC Heerenveen,3-0,FC Groningen
Sun Oct 21 2012,RKC Waalwijk,1-2,PEC Zwolle
Fri Oct 26 2012,FC Utrecht,1-0,FC Groningen
Sat Oct 27 2012,ADO Den Haag,2-0,Willem II
Sat Oct 27 2012,NEC Nijmegen,0-0,Roda JC Kerkrade
Sat Oct 27 2012,VVV Venlo,1-4,NAC Breda
Sun Oct 28 2012,Feyenoord,2-2,AFC Ajax
Sun Oct 28 2012,PEC Zwolle,1-2,PSV Eindhoven
Sun Oct 28 2012,Heracles Almelo,6-3,SC Heerenveen
Sun Oct 28 2012,RKC Waalwijk,0-1,FC Twente
Sun Oct 28 2012,Vitesse,1-2,AZ Alkmaar
Fri Nov 2 2012,Roda JC Kerkrade,0-0,ADO Den Haag
Sat Nov 3 2012,AFC Ajax,0-2,Vitesse
Sat Nov 3 2012,Willem II,1-5,FC Utrecht
Sat Nov 3 2012,PSV Eindhoven,4-0,Heracles Almelo
Sun Nov 4 2012,FC Groningen,1-2,NEC Nijmegen
Sun Nov 4 2012,AZ Alkmaar,1-2,VVV Venlo
Sun Nov 4 2012,SC Heerenveen,2-1,PEC Zwolle
Sun Nov 4 2012,FC Twente,3-0,Feyenoord
Sun Nov 4 2012,NAC Breda,2-1,RKC Waalwijk
Fri Nov 9 2012,NAC Breda,0-1,FC Groningen
Sat Nov 10 2012,RKC Waalwijk,4-0,FC Utrecht
Sat Nov 10 2012,VVV Venlo,4-1,Willem II
Sat Nov 10 2012,ADO Den Haag,2-2,AZ Alkmaar
Sat Nov 10 2012,NEC Nijmegen,3-2,Heracles Almelo
Sun Nov 11 2012,Vitesse,0-0,FC Twente
Sun Nov 11 2012,Feyenoord,5-2,Roda JC Kerkrade
Sun Nov 11 2012,PEC Zwolle,2-4,AFC Ajax
Sun Nov 11 2012,PSV Eindhoven,5-1,SC Heerenveen
Sat Nov 17 2012,ADO Den Haag,1-6,PSV Eindhoven
Sat Nov 17 2012,SC Heerenveen,0-2,RKC Waalwijk
Sat Nov 17 2012,PEC Zwolle,2-0,NAC Breda
Sat Nov 17 2012,AFC Ajax,2-0,VVV Venlo
Sat Nov 17 2012,FC Groningen,1-1,AZ Alkmaar
Sun Nov 18 2012,Vitesse,4-1,NEC Nijmegen
Sun Nov 18 2012,Feyenoord,3-0,Willem II
Sun Nov 18 2012,FC Utrecht,1-1,FC Twente
Sun Nov 18 2012,Heracles Almelo,5-1,Roda JC Kerkrade
Fri Nov 23 2012,NAC Breda,0-3,ADO Den Haag
Sat Nov 24 2012,NEC Nijmegen,2-0,FC Utrecht
Sat Nov 24 2012,RKC Waalwijk,1-1,FC Groningen
Sat Nov 24 2012,VVV Venlo,1-1,SC Heerenveen
Sat Nov 24 2012,Willem II,2-2,Heracles Almelo
Sun Nov 25 2012,Roda JC Kerkrade,1-2,AFC Ajax
Sun Nov 25 2012,PSV Eindhoven,1-2,Vitesse
Sun Nov 25 2012,AZ Alkmaar,0-2,Feyenoord
Sun Nov 25 2012,FC Twente,2-2,PEC Zwolle
Fri Nov 30 2012,PEC Zwolle,0-0,VVV Venlo
Sat Dec 1 2012,FC Twente,2-0,ADO Den Haag
Sat Dec 1 2012,Feyenoord,2-0,RKC Waalwijk
Sat Dec 1 2012,Willem II,3-1,SC Heerenveen
Sat Dec 1 2012,AFC Ajax,3-1,PSV Eindhoven
Sun Dec 2 2012,NEC Nijmegen,1-1,NAC Breda
Sun Dec 2 2012,FC Groningen,2-0,Heracles Almelo
Sun Dec 2 2012,FC Utrecht,2-1,AZ Alkmaar
Sun Dec 2 2012,Vitesse,3-0,Roda JC Kerkrade
Fri Dec 7 2012,Heracles Almelo,1-1,FC Utrecht
Sat Dec 8 2012,RKC Waalwijk,2-0,NEC Nijmegen
Sat Dec 8 2012,ADO Den Haag,1-1,PEC Zwolle
Sat Dec 8 2012,AZ Alkmaar,0-0,Willem II
Sat Dec 8 2012,AFC Ajax,2-0,FC Groningen
Sun Dec 9 2012,SC Heerenveen,4-4,Roda JC Kerkrade
Sun Dec 9 2012,NAC Breda,2-2,Feyenoord
Sun Dec 9 2012,VVV Venlo,3-1,Vitesse
Sun Dec 9 2012,PSV Eindhoven,3-0,FC Twente
Fri Dec 14 2012,FC Twente,3-2,Heracles Almelo
Sat Dec 15 2012,PEC Zwolle,1-2,AZ Alkmaar
Sat Dec 15 2012,FC Groningen,0-0,VVV Venlo
Sat Dec 15 2012,Roda JC Kerkrade,0-0,NAC Breda
Sat Dec 15 2012,NEC Nijmegen,1-1,PSV Eindhoven
Sun Dec 16 2012,FC Utrecht,3-1,SC Heerenveen
Sun Dec 16 2012,Vitesse,2-2,RKC Waalwijk
Sun Dec 16 2012,Feyenoord,3-2,ADO Den Haag
Sun Dec 16 2012,Willem II,2-4,AFC Ajax
Fri Dec 21 2012,AZ Alkmaar,0-3,FC Twente
Sat Dec 22 2012,SC Heerenveen,2-1,Vitesse
Sat Dec 22 2012,Heracles Almelo,1-1,PEC Zwolle
Sat Dec 22 2012,ADO Den Haag,2-0,NEC Nijmegen
Sat Dec 22 2012,NAC Breda,1-6,PSV Eindhoven
Sun Dec 23 2012,FC Utrecht,0-0,AFC Ajax
Sun Dec 23 2012,RKC Waalwijk,0-0,Willem II
Sun Dec 23 2012,Feyenoord,2-1,FC Groningen
Sun Dec 23 2012,VVV Venlo,2-4,Roda JC Kerkrade
Fri Jan 18 2013,PSV Eindhoven,1-3,PEC Zwolle
Sat Jan 19 2013,SC Heerenveen,0-1,Heracles Almelo
Sat Jan 19 2013,FC Twente,0-0,RKC Waalwijk
Sat Jan 19 2013,NAC Breda,1-0,VVV Venlo
Sat Jan 19 2013,AZ Alkmaar,4-1,Vitesse
Sun Jan 20 2013,FC Groningen,0-2,FC Utrecht
Sun Jan 20 2013,Willem II,1-1,ADO Den Haag
Sun Jan 20 2013,AFC Ajax,3-0,Feyenoord
Sun Jan 20 2013,Roda JC Kerkrade,2-0,NEC Nijmegen
Fri Jan 25 2013,VVV Venlo,1-4,AZ Alkmaar
Sat Jan 26 2013,PEC Zwolle,1-1,SC Heerenveen
Sat Jan 26 2013,ADO Den Haag,2-2,Roda JC Kerkrade
Sat Jan 26 2013,RKC Waalwijk,0-4,NAC Breda
Sat Jan 26 2013,Heracles Almelo,1-5,PSV Eindhoven
Sun Jan 27 2013,Vitesse,3-2,AFC Ajax
