Date,Team 1,Team 2,FT,HT
2012-08-10,Montpellier,Toulouse,1-1,1-0
2012-08-11,Evian Thonon Gaillard,Bordeaux,2-3,1-2
2012-08-11,Nancy,Brest,1-0,0-0
2012-08-11,Nice,Ajaccio,0-1,0-1
2012-08-11,Paris SG,Lorient,2-2,0-2
2012-08-11,Rennes,Lyon,0-1,0-1
2012-08-11,Sochaux,Bastia,2-3,1-0
2012-08-11,St Etienne,Lille,1-2,0-0
2012-08-11,Troyes,Valenciennes,0-1,0-1
2012-08-12,Reims,Marseille,0-1,0-0
2012-08-17,Lille,Nancy,1-1,1-1
2012-08-18,Bastia,Reims,2-1,0-1
2012-08-18,Brest,Evian Thonon Gaillard,1-0,0-0
2012-08-18,Lorient,Montpellier,2-1,0-1
2012-08-18,Lyon,Troyes,4-1,0-0
2012-08-18,Toulouse,St Etienne,2-1,1-0
2012-08-18,Valenciennes,Nice,0-0,0-0
2012-08-19,Ajaccio,Paris SG,0-0,0-0
2012-08-19,Bordeaux,Rennes,1-0,0-0
2012-08-19,Marseille,Sochaux,2-0,0-0
2012-08-24,Evian Thonon Gaillard,Lyon,1-1,0-0
2012-08-25,Nancy,Toulouse,0-1,0-1
2012-08-25,Nice,Lille,2-2,1-1
2012-08-25,Reims,Sochaux,1-0,0-0
2012-08-25,Rennes,Bastia,3-2,2-1
2012-08-25,Troyes,Lorient,2-2,1-1
2012-08-25,Valenciennes,Ajaccio,3-0,1-0
2012-08-26,Montpellier,Marseille,0-1,0-0
2012-08-26,Paris SG,Bordeaux,0-0,0-0
2012-08-26,St Etienne,Brest,4-0,2-0
2012-09-01,Ajaccio,Evian Thonon Gaillard,2-0,2-0
2012-09-01,Bastia,St Etienne,0-3,0-2
2012-09-01,Brest,Troyes,2-1,1-0
2012-09-01,Lorient,Nancy,3-0,2-0
2012-09-01,Lyon,Valenciennes,3-2,2-1
2012-09-01,Sochaux,Montpellier,1-3,0-1
2012-09-01,Toulouse,Reims,1-1,0-0
2012-09-02,Bordeaux,Nice,1-1,0-0
2012-09-02,Lille,Paris SG,1-2,1-2
2012-09-02,Marseille,Rennes,3-1,1-0
2012-09-14,Paris SG,Toulouse,2-0,1-0
2012-09-14,Reims,Montpellier,3-1,1-0
2012-09-15,Evian Thonon Gaillard,Bastia,3-0,1-0
2012-09-15,Nice,Brest,4-2,0-0
2012-09-15,St Etienne,Sochaux,0-1,0-0
2012-09-15,Troyes,Lille,1-1,0-1
