Date,Team 1,FT,Team 2
Mon Jul 1 1996,Deportivo Espanol,1-0,Platense
Sat Jul 6 1996,CA Lanus,2-2,River Plate
Fri Jul 12 1996,San Lorenzo,1-0,Belgrano Cordoba
Fri Jul 12 1996,CA Colon,2-0,CA Banfield
Sat Jul 13 1996,Newells Old Boys,1-0,Racing Club
Sun Jul 14 1996,Platense,1-0,Gye Jujuy
Sun Jul 14 1996,CA Lanus,1-0,Estudiantes
Sun Jul 14 1996,Independiente,1-4,Huracan
Sun Jul 14 1996,Gye La Plata,4-0,Rosario Central
Sun Jul 14 1996,Boca Juniors,4-1,River Plate
Sun Jul 14 1996,Argentinos Juniors,0-0,Velez Sarsfield
Mon Jul 15 1996,Ferro Carril Oeste,1-1,Deportivo Espanol
Mon Aug 5 1996,River Plate,1-2,Gye La Plata
Mon Aug 5 1996,Belgrano Cordoba,0-0,Independiente
Mon Aug 5 1996,CA Banfield,0-1,Argentinos Juniors
Tue Aug 6 1996,Velez Sarsfield,4-1,San Lorenzo
Tue Aug 6 1996,Huracan,2-2,Platense
Tue Aug 6 1996,Gye Jujuy,0-1,Ferro Carril Oeste
Tue Aug 6 1996,Deportivo Espanol,1-0,CA Lanus
Wed Aug 7 1996,Rosario Central,1-1,CA Colon
Wed Aug 7 1996,Racing Club,1-0,Boca Juniors
Wed Aug 7 1996,Estudiantes,2-2,Newells Old Boys
Fri Aug 9 1996,Independiente,1-1,Platense
Sat Aug 10 1996,Gye La Plata,6-0,Racing Club
Sun Aug 11 1996,Newells Old Boys,0-0,Deportivo Espanol
Sun Aug 11 1996,CA Lanus,1-1,Gye Jujuy
Sun Aug 11 1996,Ferro Carril Oeste,2-1,Huracan
Sun Aug 11 1996,CA Colon,1-0,River Plate
Sun Aug 11 1996,Boca Juniors,1-2,Estudiantes
Sun Aug 11 1996,Belgrano Cordoba,1-2,Velez Sarsfield
Sun Aug 11 1996,Argentinos Juniors,1-6,Rosario Central
Mon Aug 12 1996,San Lorenzo,0-1,CA Banfield
Fri Aug 16 1996,River Plate,0-0,Argentinos Juniors
Sat Aug 17 1996,Rosario Central,3-1,San Lorenzo
Sun Aug 18 1996,Velez Sarsfield,0-0,Independiente
